iso3,country,indicator_code,indicator_short,indicator_label,policy_surface,latest_year,indicator_global_latest_year,relative_lag_years,calendar_age_years,indicator_source_calendar_age_years,indicator_source_context,refresh_status,protocol_review_cell,value,missing,stale_ge_3_years
THA,Thailand,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,0.781,False,False
TLS,Timor-Leste,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,1.592,False,False
TON,Tonga,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,2.008,False,False
TKM,Turkmenistan,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,4.267,False,False
TUV,Tuvalu,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,,2025,,,1,near-current global series,missing_public_field,True,,True,False
UZB,Uzbekistan,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,4.622,False,False
VUT,Vanuatu,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,5.073,False,False
VNM,Viet Nam,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,1.523,False,False
AFG,Afghanistan,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,85.3,False,False
ARM,Armenia,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
AZE,Azerbaijan,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
BGD,Bangladesh,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,99.5,False,False
BTN,Bhutan,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
BRN,Brunei Darussalam,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
KHM,Cambodia,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,95.0,False,False
CHN,"China, People's Republic of",EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
COK,Cook Islands,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,,2023,,,3,standard-lag global series,missing_public_field,True,,True,False
FJI,Fiji,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,99.3,False,False
GEO,Georgia,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
HKG,"Hong Kong, China",EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
IND,India,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,99.5,False,False
IDN,Indonesia,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,99.4,False,False
KAZ,Kazakhstan,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
KIR,Kiribati,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,95.9,False,False
KGZ,Kyrgyz Republic,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
LAO,Lao People's Democratic Republic,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,96.5,False,False
MYS,Malaysia,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
MDV,Maldives,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
MHL,Marshall Islands,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
FSM,"Micronesia, Federated States of",EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,86.9,False,False
MNG,Mongolia,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
MMR,Myanmar,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,76.8,False,False
NRU,Nauru,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
NPL,Nepal,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,94.0,False,False
PAK,Pakistan,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,95.6,False,False
PLW,Palau,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
PNG,Papua New Guinea,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,20.5,False,False
PHL,Philippines,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,98.0,False,False
WSM,Samoa,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
SLB,Solomon Islands,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,81.3,False,False
LKA,Sri Lanka,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
TJK,Tajikistan,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
THA,Thailand,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
TLS,Timor-Leste,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
TON,Tonga,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
TKM,Turkmenistan,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
TUV,Tuvalu,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
UZB,Uzbekistan,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,100.0,False,False
VUT,Vanuatu,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,61.6,False,False
VNM,Viet Nam,EG.ELC.ACCS.ZS,Electricity,Access to electricity (% population),energy access,2023,2023,0,3,3,standard-lag global series,latest_for_indicator,False,99.8,False,False
AFG,Afghanistan,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,16.094999,False,False
ARM,Armenia,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,81.339302,False,False
AZE,Azerbaijan,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,90.800002,False,False
BGD,Bangladesh,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,53.421713,False,False
BTN,Bhutan,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,91.277397,False,False
BRN,Brunei Darussalam,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,96.298288,False,False
KHM,Cambodia,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,68.475304,False,False
CHN,"China, People's Republic of",IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,91.6,False,False
COK,Cook Islands,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,,2025,,,1,near-current global series,missing_public_field,True,,True,False
FJI,Fiji,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,74.7052,False,False
GEO,Georgia,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,83.798557,False,False
HKG,"Hong Kong, China",IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,95.75537,False,False
IND,India,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,70.0,False,False
IDN,Indonesia,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,72.780755,False,False
KAZ,Kazakhstan,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,93.391673,False,False
KIR,Kiribati,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,89.4403,False,False
KGZ,Kyrgyz Republic,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,92.028603,False,False
LAO,Lao People's Democratic Republic,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,65.592697,False,False
MYS,Malaysia,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,98.020606,False,False
MDV,Maldives,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,85.239998,False,False
MHL,Marshall Islands,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,65.915802,False,False
FSM,"Micronesia, Federated States of",IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,39.523602,False,False
MNG,Mongolia,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,85.123497,False,False
MMR,Myanmar,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2020,2025,5,6,1,near-current global series,stale_alert,True,45.447701,False,True
NRU,Nauru,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,83.011703,False,False
NPL,Nepal,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,46.321899,False,False
PAK,Pakistan,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,57.253,False,False
PLW,Palau,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,83.925499,False,False
PNG,Papua New Guinea,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,18.8116,False,False
PHL,Philippines,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,67.263009,False,False
WSM,Samoa,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2014,2025,11,12,1,near-current global series,stale_alert,True,21.200001,False,True
SLB,Solomon Islands,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,29.040701,False,False
LKA,Sri Lanka,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,54.59,False,False
TJK,Tajikistan,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,55.7934,False,False
THA,Thailand,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,90.867188,False,False
TLS,Timor-Leste,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2021,2025,4,5,1,near-current global series,stale_alert,True,35.042,False,True
TON,Tonga,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,67.441704,False,False
TKM,Turkmenistan,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2016,2025,9,10,1,near-current global series,stale_alert,True,17.990299,False,True
TUV,Tuvalu,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2017,2025,8,9,1,near-current global series,stale_alert,True,35.200001,False,True
UZB,Uzbekistan,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,89.505501,False,False
VUT,Vanuatu,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2015,2025,10,11,1,near-current global series,stale_alert,True,22.3514,False,True
VNM,Viet Nam,IT.NET.USER.ZS,Internet use,Individuals using the Internet (% population),digital access,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,84.15,False,False
AFG,Afghanistan,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,46.087094,False,False
ARM,Armenia,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,30.579633,False,False
AZE,Azerbaijan,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,21.727,False,False
BGD,Bangladesh,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,42.381376,False,False
BTN,Bhutan,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,23.945658,False,False
BRN,Brunei Darussalam,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,7.597265,False,False
KHM,Cambodia,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,24.143602,False,False
CHN,"China, People's Republic of",EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,34.810524,False,False
COK,Cook Islands,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,,2020,,,6,older global production vintage,missing_public_field,True,,True,False
FJI,Fiji,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,12.418798,False,False
GEO,Georgia,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,17.043842,False,False
HKG,"Hong Kong, China",EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,,2020,,,6,older global production vintage,missing_public_field,True,,True,False
IND,India,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,48.394812,False,False
IDN,Indonesia,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,17.881499,False,False
KAZ,Kazakhstan,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,20.027872,False,False
KIR,Kiribati,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,11.256827,False,False
KGZ,Kyrgyz Republic,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,24.381725,False,False
LAO,Lao People's Democratic Republic,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,22.317667,False,False
MYS,Malaysia,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,16.193853,False,False
MDV,Maldives,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,12.012391,False,False
MHL,Marshall Islands,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,10.725619,False,False
FSM,"Micronesia, Federated States of",EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,12.11442,False,False
MNG,Mongolia,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,29.654787,False,False
MMR,Myanmar,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,32.315034,False,False
NRU,Nauru,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,6.064355,False,False
NPL,Nepal,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,45.720771,False,False
PAK,Pakistan,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,42.998173,False,False
PLW,Palau,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,7.32771,False,False
PNG,Papua New Guinea,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,17.310543,False,False
PHL,Philippines,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,20.288742,False,False
WSM,Samoa,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,12.551895,False,False
SLB,Solomon Islands,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,13.954283,False,False
LKA,Sri Lanka,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,19.964441,False,False
TJK,Tajikistan,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,37.053406,False,False
THA,Thailand,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,31.007202,False,False
TLS,Timor-Leste,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,17.410466,False,False
TON,Tonga,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,12.478413,False,False
TKM,Turkmenistan,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,19.599761,False,False
TUV,Tuvalu,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,5.917801,False,False
UZB,Uzbekistan,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,31.960429,False,False
VUT,Vanuatu,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,14.082412,False,False
VNM,Viet Nam,EN.ATM.PM25.MC.M3,PM2.5,"PM2.5 air pollution, mean annual exposure",environmental health,2020,2020,0,6,6,older global production vintage,latest_for_indicator,False,20.801064,False,False
AFG,Afghanistan,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,34.743247,False,False
ARM,Armenia,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,7.805886,False,False
AZE,Azerbaijan,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,5.657171,False,False
BGD,Bangladesh,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,11.164801,False,False
BTN,Bhutan,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,14.993109,False,False
BRN,Brunei Darussalam,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,1.174477,False,False
KHM,Cambodia,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,16.576873,False,False
CHN,"China, People's Republic of",NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,6.775999,False,False
COK,Cook Islands,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,,2024,,,2,standard-lag global series,missing_public_field,True,,True,False
FJI,Fiji,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,13.190028,False,False
GEO,Georgia,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,5.485443,False,False
HKG,"Hong Kong, China",NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,0.037448,False,False
IND,India,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,16.285434,False,False
IDN,Indonesia,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,12.608666,False,False
KAZ,Kazakhstan,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,3.882292,False,False
KIR,Kiribati,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,27.187006,False,False
KGZ,Kyrgyz Republic,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,8.607604,False,False
LAO,Lao People's Democratic Republic,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,16.771884,False,False
MYS,Malaysia,NV.AGR.TOTL.ZS,Agriculture,"Agriculture, forestry, and fishing, value added (% GDP)",structural change,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,8.128468,False,False
