adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,poverty_incidence_2023,poverty_standard_error_2023,poverty_coefficient_of_variation_2023,poverty_ci_lower_2023,poverty_ci_upper_2023,poverty_threshold_php_2023,poverty_precision_flag,poverty_source_year,poverty_source_type,poverty_join_status,registry_clinical,osm_health,registry_gap_share,buildings_p85,underobserved_buildings_adm3_p85_proxy,gap_poverty_context_p85_proxy,poverty_source_label,poverty_source_url,area_sqkm,buildings_all,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio
Region VIII (Eastern Visayas),PH08,Northern Samar,PH08048,Laoang,PH0804808,29.0465,1.8596,6.402,25.9875,32.1055,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,19,0,1.0,7921,7921,2301.0,Laoang,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,205.8546,19520,3476,988693.0,562550.0,315343.4,38.48,21,3,0,0,0,19,0.0
Region V (Bicol Region),PH05,Sorsogon,PH05062,Castilla,PH0506206,37.283,2.336,6.2656,33.4403,41.1258,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,54,2,0.963,8201,7898,2945.0,Castilla,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,195.148,21951,3363,1189507.2,662232.2,364187.9,42.02,54,4,2,0,0,52,0.037
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Carmona,PH0402104,6.3668,1.618,25.4134,3.7052,9.0285,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,24,2,0.9167,8595,7879,502.0,City of Carmona,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,24.1187,27773,2460,3247424.9,2229644.2,1643022.8,356.36,29,7,1,1,0,22,0.0833
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Asingan,PH0105506,9.6807,1.5232,15.734,7.1751,12.1863,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,4,0.8095,9710,7860,761.0,Asingan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,78.4409,31961,3475,1927635.4,1036503.6,511770.7,123.79,22,4,1,2,1,17,0.1905
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Mabini (Doña Alicia),PH1108203,14.4899,1.719,11.8635,11.6622,17.3177,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,14,0,1.0,7847,7847,1137.0,Mabini (Doña Alicia),https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,214.5813,16979,3210,1050118.7,696705.0,395583.1,36.57,15,3,0,0,0,14,0.0
Region VII (Central Visayas),PH07,Cebu,PH07022,San Fernando,PH0702241,24.024,2.1274,8.8555,20.5244,27.5237,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,25,0,1.0,7829,7829,1881.0,San Fernando,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,74.8617,26244,3363,1599038.1,920952.8,609494.7,104.58,25,5,0,0,0,25,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Wao,PH1903630,15.9991,3.5981,22.4891,10.0803,21.9179,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,29,5,0.8276,9458,7827,1252.0,Wao,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,314.6005,17893,3744,1198758.6,839232.9,466953.9,30.06,29,3,1,2,2,24,0.1724
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Arakan,PH1204718,28.4745,2.2503,7.903,24.7727,32.1763,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,29,1,0.9655,8106,7826,2228.0,Arakan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,443.1339,19627,2534,1186559.1,693612.8,328920.9,18.29,30,2,0,1,0,28,0.0345
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Santo Niño,PH1206318,13.563,1.8215,13.4302,10.5666,16.5594,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,14,2,0.8571,9106,7805,1059.0,Santo Nino,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,77.4342,18379,3930,1384136.3,951038.3,547929.7,117.6,15,4,1,1,0,12,0.1429
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Katipunan,PH0907203,49.673,3.0075,6.0546,44.7257,54.6204,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,24,1,0.9583,8139,7800,3874.0,Katipunan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,232.8164,14909,3573,858412.6,621719.5,371378.2,34.96,25,2,0,0,1,23,0.0417
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Kapatagan,PH1003505,27.9481,1.4698,5.259,25.5303,30.3659,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,29,13,0.5517,14118,7789,2177.0,Kapatagan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,134.6113,24480,6033,1655137.2,1266541.1,747293.5,104.88,30,3,4,5,4,16,0.4483
Region III (Central Luzon),PH03,Pampanga,PH03054,Macabebe,PH0305410,10.6463,1.1709,10.9981,8.7202,12.5724,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,27,3,0.8889,8759,7786,829.0,Macabebe,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,90.2411,27749,3198,1803981.7,984390.2,506039.9,97.06,30,4,2,1,0,24,0.1111
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Lian,PH0401013,8.3851,1.3867,16.5379,6.1039,10.6663,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,0,1.0,7765,7765,651.0,Lian,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,83.4097,19356,3686,1439484.5,912478.2,573526.7,93.09,12,4,0,0,0,11,0.0
Region V (Bicol Region),PH05,Sorsogon,PH05062,Pilar,PH0506213,39.4482,1.7933,4.546,36.4981,42.3982,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,46,0,1.0,7743,7743,3054.0,Pilar,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,201.2833,22500,2913,1202337.3,618341.5,321293.5,38.47,46,2,0,0,0,46,0.0
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Sagay City,PH0604523,24.8078,4.0447,16.3044,18.1542,31.4614,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,39,3,0.9231,8376,7732,1918.0,City of Sagay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,292.359,22084,3602,1688582.4,991081.2,574942.6,28.65,44,7,3,0,0,36,0.0769
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Parang,PH1906609,25.8693,3.5492,13.7199,20.0308,31.7077,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,0,1.0,7728,7728,1999.0,Parang,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,68.8169,11860,3826,608781.0,482854.4,296332.8,112.3,11,4,0,0,0,11,0.0
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Pagbilao,PH0405630,3.6259,0.8741,24.1062,2.1881,5.0638,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,20,3,0.85,9073,7712,280.0,Pagbilao,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,175.2203,24554,4041,1861640.7,1164103.2,759854.8,51.78,21,5,1,0,2,17,0.15
Region VI (Western Visayas),PH06,Aklan,PH06004,New Washington,PH0600415,6.4532,1.0636,16.4821,4.7035,8.2029,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,13,1,0.9231,8319,7679,496.0,New Washington,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,55.1554,20761,4136,1514079.1,926808.9,561622.5,150.83,14,3,0,0,1,12,0.0769
Cordillera Administrative Region (CAR),PH14,Benguet,PH14011,Buguias,PH1401105,8.2741,1.0761,13.0056,6.504,10.0443,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,24,5,0.7917,9533,7547,624.0,Buguias,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,176.3859,32820,2599,1592209.1,791290.7,310166.3,54.05,26,10,2,1,2,19,0.2083
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,General Tinio (Papaya),PH0304910,10.4383,0.8485,8.129,9.0424,11.8341,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,1,0.9375,8043,7540,787.0,Gen Tinio,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,563.156,26892,2811,1919589.7,1072814.8,570215.5,14.28,19,5,1,0,0,15,0.0625
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,San Pablo,PH0907325,36.826,3.0765,8.3542,31.7651,41.8869,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,7516,7516,2768.0,San Pablo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,102.9429,13051,3238,599355.2,448779.7,256312.1,73.01,10,2,0,0,0,10,0.0
Region VIII (Eastern Visayas),PH08,Samar (Western Samar),PH08060,City of Catbalogan (Capital),PH0806005,26.0559,1.9228,7.3794,22.8929,29.2188,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,26,8,0.6923,10852,7513,1958.0,City of Catbalogan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,169.41,29959,4497,1724944.2,940979.0,529341.2,64.06,33,9,4,3,1,18,0.3077
Cordillera Administrative Region (CAR),PH14,Benguet,PH14011,Itogon,PH1401106,4.7338,0.9529,20.1296,3.1663,6.3013,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,2,0.8824,8511,7510,356.0,Itogon,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,438.1559,33466,2429,1878527.6,865909.4,368112.6,19.42,17,2,1,1,0,15,0.1176
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,City of Vigan (Capital),PH0102934,3.9335,0.6899,17.5399,2.7985,5.0684,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,48,12,0.75,10008,7506,295.0,City of Vigan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,24.4584,28332,4171,2274717.8,1457192.4,874735.9,409.18,54,8,8,2,2,36,0.25
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Lutayan,PH1206507,37.7215,3.6487,9.6727,31.7194,43.7236,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,13,0,1.0,7496,7496,2828.0,Lutayan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,166.2712,14123,3430,888447.8,628090.2,375505.1,45.08,13,2,0,0,0,13,0.0
Region VI (Western Visayas),PH06,Iloilo,PH06030,Tigbauan,PH0603045,11.9048,0.8521,7.1573,10.5031,13.3064,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,2,0.875,8562,7492,892.0,Tigbauan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,90.2903,27470,4008,1671448.4,917613.9,574089.4,94.83,20,2,0,2,0,14,0.125
Region V (Bicol Region),PH05,Masbate,PH05041,Cawayan,PH0504106,22.4765,1.4505,6.4535,20.0904,24.8626,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,39,2,0.9487,7883,7479,1681.0,Cawayan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,268.6828,22225,2957,1123744.1,586165.3,301927.3,29.34,39,3,1,0,1,37,0.0513
Region VI (Western Visayas),PH06,Iloilo,PH06030,Carles,PH0603014,27.2562,1.9657,7.2119,24.0227,30.4898,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,2,0.8824,8471,7475,2037.0,Carles,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,103.287,30343,3167,1726827.2,865159.4,453340.6,82.01,18,2,1,1,0,15,0.1176
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Liloy,PH0907206,42.9071,2.255,5.2555,39.1976,46.6165,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,40,2,0.95,7854,7461,3201.0,Liloy,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,122.5879,12141,3924,887963.4,715526.7,468473.0,64.07,42,3,1,1,0,38,0.05
Region VII (Central Visayas),PH07,Cebu,PH07022,Pinamungajan,PH0702237,28.44,3.8527,13.5466,22.1024,34.7777,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,30,1,0.9667,7654,7399,2104.0,Pinamungahan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,105.6033,23191,3209,1540953.1,857488.8,521756.6,72.48,32,4,1,0,0,29,0.0333
Region XI (Davao Region),PH11,Davao Occidental,PH11086,Santa Maria,PH1108604,20.5024,2.0552,10.0244,17.1215,23.8833,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,26,0,1.0,7398,7398,1517.0,Santa Maria,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,212.409,16300,2775,914518.3,590802.3,323918.8,34.83,28,4,0,0,0,26,0.0
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Amadeo,PH0402102,10.2127,2.0589,20.1601,6.8258,13.5995,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,30,4,0.8667,8519,7383,754.0,Amadeo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,35.9254,20033,4323,1630691.5,1070644.3,703235.6,237.13,36,3,1,2,1,26,0.1333
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Cateel,PH1102505,42.7787,2.3805,5.5648,38.8627,46.6947,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,19,1,0.9474,7790,7380,3157.0,Cateel,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,452.5098,17933,2716,1051171.4,633819.7,338125.5,17.22,21,2,1,0,0,18,0.0526
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Palimbang,PH1206509,43.9938,2.1387,4.8613,40.4757,47.512,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,39,4,0.8974,8211,7369,3242.0,Palimbang,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,796.9115,16237,2990,957250.6,648142.3,335767.1,10.3,39,5,0,2,2,35,0.1026
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,San Leonardo,PH0304927,8.9346,1.1109,12.4331,7.1073,10.762,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,13,3,0.7692,9576,7366,658.0,San Leonardo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,50.7756,31562,3441,2338652.0,1345506.7,753163.5,188.59,16,7,3,0,0,10,0.2308
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Aurora,PH0907302,29.118,2.2709,7.799,25.3824,32.8537,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,1,0.9412,7820,7360,2143.0,Aurora,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,160.4408,12782,3632,1093646.4,834719.7,501032.2,48.74,19,5,0,0,1,16,0.0588
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Buluan,PH1908803,38.1452,3.7682,9.8784,31.9466,44.3438,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,14,1,0.9286,7913,7348,2803.0,Buluan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,57.8037,15213,3369,980353.5,701964.7,416375.0,136.89,14,9,1,0,0,13,0.0714
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Tagbina,PH1606817,19.1727,1.9081,9.9524,16.0338,22.3116,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,26,0,1.0,7326,7326,1405.0,Tagbina,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,358.5809,18457,2535,1085247.7,623632.4,303498.1,20.43,26,2,0,0,0,26,0.0
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Minalabac,PH0501722,31.1999,2.0189,6.4709,27.8788,34.521,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,28,0,1.0,7324,7324,2285.0,Minalabac,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,127.2209,22941,3029,994977.9,515016.2,278330.9,57.57,28,4,0,0,0,28,0.0
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Ragay,PH0501730,27.746,2.0137,7.2576,24.4335,31.0586,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,42,2,0.9524,7672,7307,2027.0,Ragay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,379.0525,23169,3143,1201158.0,626488.7,340647.8,20.24,43,4,1,1,0,40,0.0476
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Dinas,PH0907306,39.648,2.6408,6.6607,35.3038,43.9921,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,0,1.0,7306,7306,2897.0,Dinas,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,166.4357,12170,3073,685988.3,503123.4,268634.9,43.9,12,3,0,0,0,12,0.0
Region II (Cagayan Valley),PH02,Isabela,PH02031,Cordon,PH0203109,12.9564,1.4656,11.3118,10.5455,15.3673,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,31,3,0.9032,8073,7292,945.0,Cordon,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,224.5291,28618,2242,1772789.9,870642.1,359674.7,35.96,32,5,2,1,0,28,0.0968
Region V (Bicol Region),PH05,Albay,PH05005,Guinobatan,PH0500504,23.9939,1.4471,6.031,21.6135,26.3743,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,19,4,0.7895,9235,7291,1749.0,Guinobatan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,175.5735,28654,3506,1622398.0,785238.6,408994.6,52.6,20,4,2,2,0,15,0.2105
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Palo,PH0803739,20.5179,1.2071,5.883,18.5323,22.5035,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,9,0.4375,16649,7284,1495.0,Palo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,81.0324,38730,8362,2216908.3,1439899.5,968908.7,205.46,27,7,3,5,1,7,0.5625
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Bay,PH0403402,7.2628,0.9592,13.2066,5.685,8.8406,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,24,4,0.8333,8689,7241,526.0,Bay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,38.3796,24331,4140,1600126.8,951065.5,607426.8,226.4,29,6,2,1,1,20,0.1667
Region I (Ilocos Region),PH01,La Union,PH01033,Aringay,PH0103302,10.8456,1.5893,14.6543,8.2311,13.4601,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,26,1,0.9615,7508,7219,783.0,Aringay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,97.1903,24720,2830,1529792.5,862851.1,463730.0,77.25,29,2,0,1,0,25,0.0385
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,Talacogon,PH1600311,31.0539,2.8926,9.3147,26.2956,35.8122,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,1,0.9412,7609,7162,2224.0,Talacogon,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,352.2953,15106,3164,950133.3,658636.6,370110.8,21.6,17,3,1,0,0,16,0.0588
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Tanauan,PH0803748,25.0689,1.0545,4.2065,23.3342,26.8035,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,8,2,0.75,9548,7161,1795.0,Tanauan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,67.1307,25481,4444,1363779.3,786631.6,480757.9,142.23,10,2,0,1,1,6,0.25
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Mawab,PH1108206,14.4666,2.6885,18.5841,10.0441,18.8892,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,2,0.875,8175,7153,1035.0,Mawab,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,125.3343,17909,3414,1132648.0,753765.4,441918.4,65.23,19,5,1,1,0,14,0.125
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Roseller Lim,PH0908312,21.0349,1.8482,8.7865,17.9946,24.0753,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,18,0,1.0,7144,7144,1503.0,Roseller Lim,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,211.4143,11448,3164,682246.1,519370.6,294172.2,33.79,18,3,0,0,0,18,0.0
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,San Isidro,PH0304925,10.2402,0.6107,5.9641,9.2355,11.2448,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,14,2,0.8571,8332,7141,731.0,San Isidro,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,47.7883,27597,3179,1898014.0,1069367.5,571310.4,174.35,19,7,2,0,0,12,0.1429
Mimaropa Region,PH17,Palawan,PH17053,El Nido (Bacuit),PH1705312,12.1605,1.6084,13.2266,9.5146,14.8063,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,2,0.9048,7882,7132,867.0,El Nido,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,562.0203,23340,3127,1395657.0,704932.0,370105.1,14.02,25,3,1,1,0,19,0.0952
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Mabini,PH0401016,8.5102,0.6348,7.4596,7.4659,9.5545,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,13,3,0.7692,9268,7129,607.0,Mabini,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,39.7241,19310,5579,1747385.1,1312834.8,996641.7,233.31,15,4,3,0,0,10,0.2308
Region II (Cagayan Valley),PH02,Isabela,PH02031,Angadanan,PH0203102,15.1977,1.6724,11.0045,12.4465,17.9488,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,0,1.0,7103,7103,1079.0,Angadanan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,194.5979,24914,2252,1583681.1,812190.8,382959.3,36.5,17,3,0,0,0,16,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Buldon,PH1908702,40.0135,5.2608,13.1476,31.3595,48.6675,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,14,0,1.0,7089,7089,2837.0,Buldon,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,380.2091,10824,3640,613259.7,491429.0,316108.7,18.65,14,2,0,0,0,14,0.0
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Tambulig,PH0907328,36.8635,2.4704,6.7016,32.7996,40.9273,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,13,0,1.0,7082,7082,2611.0,Tambulig,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,138.6141,12997,2673,782367.5,530626.0,265836.8,51.09,13,8,0,0,0,13,0.0
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Kawit,PH0402111,11.5206,1.2166,10.5598,9.5194,13.5219,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,34,9,0.7353,9609,7065,814.0,Kawit,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,15.9604,29939,3487,2277372.8,1414457.3,857909.2,602.05,43,12,4,3,2,25,0.2647
