iso3,country,year,coverage_4g_pct,internet_use_pct,availability_use_gap_pp,coverage_source,coverage_note,internet_use_source,internet_use_note,coverage_data_id,internet_use_data_id,mobile_5gb_pct_gni,internet_use_rural_pct,internet_use_urban_pct,urban_rural_use_gap_pp
LKA,Sri Lanka,2018,80.0,28.336201,51.663799,Telecommunication Regulatory Commission of Sri Lanka,,ITU estimate.,,8383637,35660314,,,,
TWN,"Taipei,China",2018,99.9,86.205811,13.694189,National Communications Commission,,National Communications Commission,,8379472,31268859,,,,
THA,Thailand,2018,98.0,56.817481,41.182519,Office of The National Broadcasting and Telecommunications Commission (NBTC),NBTC,National Statistical Office,,8379501,30899117,,49.294733,66.074665,16.779931
TLS,Timor-Leste,2018,40.0,27.6,12.4,National Communications Authority ,,ITU estimate.,,8386035,35660700,,,,
UZB,Uzbekistan,2018,44.0,55.200001,-11.200001,Ministry of Development of the Information Technologies and Communications of the Republic of Uzbekistan,,State Committee of the Republic of Uzbekistan on Statistics ,,30904121,31268856,,48.364498,61.557848,13.193349
VNM,Viet Nam,2018,93.89,69.847929,24.042071,Ministry of Information and Communications,,Ministry of Information and Communications,,8379588,30899143,,,,
AFG,Afghanistan,2019,22.0,17.6,4.4,Afghanistan Telecommunication Regulatory Authority.,,ITU estimate.,Asia Foundation,35662736,35660726,,,,
ARM,Armenia,2019,99.3,66.54395,32.75605,Ministry of High-Tech Industry of Armenia,,The Statistical Committee of the Republic of Armenia ,,35665876,35660750,,59.935714,70.754529,10.818814
AZE,Azerbaijan,2019,93.0,81.099999,11.900001,Ministry of Digital Development and Transport,Excluding occupied territories of Azerbaijan,State Statistical Committee of the Republic of Azerbaijan,,35665824,35660771,,67.718517,92.827583,25.109066
BGD,Bangladesh,2019,82.0,30.383101,51.616899,Bangladesh Telecommunication Regulatory Commission,"December, 2019",ITU estimate.,,35665772,35660795,,,,
BTN,Bhutan,2019,78.0,74.179398,3.820602,Ministry of Information & Communications,,ITU estimate.,,35665642,35660818,,,,
BRN,Brunei Darussalam,2019,95.25,95.0,0.25,Authority for Info-communications Technology Industry of Brunei Darussalam,,Authority for Info-communications Technology Industry of Brunei Darussalam,,35665538,35660815,,,,
KHM,Cambodia,2019,80.3,52.305878,27.994122,Telecommunication Regulator of Cambodia (TRC),,National Institute of Statistics,,35665410,35660830,,,,
CHN,China,2019,99.9,64.080881,35.819119,Ministry of Industry and Information Technology,,National Bureau of Statistics,,35665289,35660836,,46.195652,76.533019,30.337367
FJI,Fiji,2019,76.0,63.217899,12.782101,Ministry of Communications,,ITU estimate.,,36452950,35660903,,,,
GEO,Georgia,2019,99.72,68.846714,30.873286,Communications Comission,,National Statistics Office of Georgia,,35664845,35661324,,56.599995,77.215828,20.615833
HKG,"Hong Kong, China",2019,99.0,91.7434,7.2566,Office of the Communications Authority,,Census and Statistics Department,In the last twelve months,35666164,35660954,,,,
IND,India,2019,97.92,29.5235,68.3965,Department of Telecommunications,December 2019,ITU estimate.,,35680094,35660975,,,,
IDN,Indonesia,2019,97.59,47.690649,49.899351,Ministry of Communications and Informatics,Ministry of Communications and Informatics,BPS-Statistics Indonesia,,35664689,35660978,,33.837073,58.59226,24.755188
KAZ,Kazakhstan,2019,75.7,81.87762,-6.17762,"Ministry of digital development, defense and aerospace industry of the Republic of Kazakhstan",,"Committee on Statistics, Ministry of National Economy of the Republic of Kazakhstan",,35679723,35661327,,79.240356,83.754386,4.51403
KIR,Kiribati,2019,53.0,41.792999,11.207001,"Ministry of Information, Communication, Transport & Tourism Development",,ITU estimate.,,35679749,35661008,,,,
KGZ,Kyrgyz Republic,2019,85.0,64.1,20.9,State Communications Agency under the State Committee for IT and Communications of the Kyrgyz Republic,,National Statistical Committee of the Kyrgyz Republic,,35664455,35661336,,,,
LAO,Lao PDR,2019,43.0,47.032299,-4.032299,Ministry of Technology and Communication,,ITU estimate.,,35664429,35661020,,,,
MYS,Malaysia,2019,82.2,84.187145,-1.987145,Malaysian Communications and Multimedia Commission,Revised figure,Department of Statistics,,35664273,35661063,,72.263394,87.615345,15.351951
MDV,Maldives,2019,100.0,77.469704,22.530296,Communications Authority of Maldives,,ITU estimate.,,35664247,35661066,,,,
MNG,Mongolia,2019,59.0,51.079994,7.920006,Communications Regulatory Commission of Mongolia ,,National Statistical Office of Mongolia,Weight adjusted in 2018,35664117,35661075,,,,
MMR,Myanmar,2019,88.89,36.540501,52.349499,"Posts and Telecommunications Department, Ministry of Transport and Communications ",,ITU estimate.,,36308509,35660812,,,,
NRU,Nauru,2019,30.0,74.7379,-44.7379,ITU estimate.,,ITU estimate.,,36477721,35661123,,,,
NPL,Nepal,2019,30.0,33.336601,-3.336601,ITU estimate.,,ITU estimate.,,35897088,35661120,,,,
PAK,Pakistan,2019,68.73,17.070902,51.659098,Pakistan Telecommunication Authority,Figure reports the highest coverage as on 31st December 2019,Pakistan Bureau of Statistics,Last three months,35663905,35661132,,,,
PNG,Papua New Guinea,2019,50.0,13.6242,36.3758,ITU estimate.,,ITU estimate.,,36477725,35661141,,,,
PHL,Philippines,2019,80.0,43.026612,36.973388,Department of Information and Communication Technology,,"Office of the National Statistician, Philippine Statistics Authority",,35663761,35661135,,,,
SLB,Solomon Islands,2019,25.0,22.4888,2.5112,ITU estimate.,,ITU estimate.,,35697751,35661192,,,,
LKA,Sri Lanka,2019,80.0,32.020901,47.979099,Telecommunications Regulatory Commission of Sri Lanka,,ITU estimate.,,35821767,35660845,,,,
TWN,"Taipei,China",2019,99.9,88.822458,11.077542,National Communications Commission,,National Communications Commission,,35663230,35661380,,,,
TJK,Tajikistan,2019,80.0,22.6863,57.3137,ITU estimate.,,ITU estimate.,,36477733,59465525,,,,
THA,Thailand,2019,98.0,66.652419,31.347581,The National Broadcasting and Telecommunications Commission,NBTC,National Statistical Office,,35663178,35661246,,60.128643,74.629762,14.50112
TLS,Timor-Leste,2019,45.0,28.004601,16.995399,National Communications Authority ,Estimate,ITU estimate.,,35663152,35661395,,,,
TON,Tonga,2019,96.0,51.563,44.437,MEIDECC,,ITU estimate.,,35663100,59465494,,,,
UZB,Uzbekistan,2019,47.7,70.399999,-22.699999,Ministry for Development of Information Technologies and Communications of the Republic of Uzbekistan,,State Committee of the Republic of Uzbekistan on Statistics ,,35662944,35661282,,,,
VNM,Viet Nam,2019,97.0,68.66158,28.33842,Ministry of Information and Communications,,Ministry of Information and Communications,,35662866,35661297,,,,
AFG,Afghanistan,2020,26.0,17.0485,8.9515,Afghanistan Telecommunication Regulatory Authority.,,ITU estimate.,,36112857,36223982,,,,
ARM,Armenia,2020,100.0,76.507701,23.492299,Ministry of High-Tech Industry of Armenia,,Statistical Committee of RA,All ages.,36108514,36223190,,71.488179,80.062548,8.57437
AZE,Azerbaijan,2020,93.0,84.599996,8.400004,Ministry of Digital Development and Transport,,State Statistical Committee of the Republic of Azerbaijan,Aged 7 and older.,36108916,36223191,,72.732866,94.925379,22.192513
BGD,Bangladesh,2020,97.8,36.1091,61.6909,Bangladesh Telecommunication Regulatory Commission,"June, 2021",ITU estimate.,Aged 5 and older.,36109841,36223196,,,,
BTN,Bhutan,2020,80.0,76.8508,3.1492,Ministry of Information & Communications,,ITU estimate.,,36111740,36223996,,,,
BRN,Brunei Darussalam,2020,95.25,96.305496,-1.055496,Authority for Info-communications Technology Industry of Brunei Darussalam,Data is referring to LTE coverage. There is no WiMax deployment in Brunei.,ITU estimate.,Aged 15 and older.,36110545,36223198,,,,
KHM,Cambodia,2020,91.5,56.3759,35.1241,Telecommunication Regulator of Cambodia (TRC),,ITU estimate.,Aged 5 and older.,36302379,36178697,,,,
CHN,China,2020,99.9,70.05276,29.84724,Ministry of Industry and Information Technology,,National Bureau of Statistics,Aged 6 and older.,36110589,36012326,,61.012954,75.712847,14.699893
FJI,Fiji,2020,80.0,68.625603,11.374397,Ministry of Communications,,ITU estimate.,,36452812,42775439,,,,
GEO,Georgia,2020,99.72,72.531575,27.188425,Communications Comission,,National Statistics Office of Georgia,Aged 15 and older.,36109444,36178852,,59.66685,81.244857,21.578007
HKG,"Hong Kong, China",2020,99.0,92.413136,6.586864,"Office of the Communications Authority, Hong Kong, China",,Census and Statistics Department,Aged 10 and older. In the last 12 months.,36109753,36178732,,,,
IND,India,2020,98.45,43.405443,55.044557,Department of Telecommunications,December 2020,IAMAI and KANTAR,,36112989,36223210,,,,
IDN,Indonesia,2020,96.1,53.726494,42.373506,Ministry of Communications and Informatics,"The decrease in this figure relates to the different method used in measuring coverage, from only residential areas to all areas.",BPS-Statistics Indonesia,All ages.,36109797,36178746,,40.320829,64.249635,23.928806
KAZ,Kazakhstan,2020,81.3,85.942599,-4.642599,"Ministry of Digital development, defense and aerospace industry of the Republic of Kazakhstan",the data is generated on an annual basis at the end of May,"Committee on Statistics, Ministry of National Economy of the Republic of Kazakhstan",Aged 6 and older.,36112185,36178856,,83.351001,87.74596,4.394959
KIR,Kiribati,2020,53.3,52.950901,0.349099,"Ministry of Information, Communication, Transport & Tourism Development",,ITU estimate.,,36172155,59465413,,,,
KGZ,Kyrgyz Republic,2020,85.0,72.0,13.0,ITU estimate.,,National Statistical Committee of the Kyrgyz Republic,,36477774,42555743,,,,
LAO,Lao PDR,2020,50.0,54.0,-4.0,Ministry of Technology and Communication,,Laos Statistical Information Service - Statistical Yearbook 2021,,36477758,36223992,,,,
MYS,Malaysia,2020,93.5,89.555012,3.944988,Malaysian Communications and Multimedia Commission,Malaysia implements National Broadband Plan called JENDELA which among others to increase 4G coverage nationwide.,Department of Statistics,Aged 15 and older.,36113679,36178773,,79.374,92.388187,13.014187
MDV,Maldives,2020,100.0,79.097801,20.902199,Communications Authority of Maldives,,ITU estimate.,,36172203,36227594,,,,
MNG,Mongolia,2020,73.0,62.500028,10.499972,Communications Regulatory Commission of Mongolia,,National Statistical Office of Mongolia,Aged 15 and older.,36113723,36178780,,,,
MMR,Myanmar,2020,93.85,45.447701,48.402299,"Posts and Telecommunications Department, Ministry of Transport and Communications",,ITU estimate.,,36308416,36223985,,,,
NRU,Nauru,2020,30.0,77.466599,-47.466599,ITU estimate.,,ITU estimate.,,36477754,42775456,,,,
NPL,Nepal,2020,45.0,36.965302,8.034698,ITU estimate.,,ITU estimate.,,36477759,36277433,,,,
PAK,Pakistan,2020,68.82,18.935,49.885,Pakistan Telecommunication Authority,Figure reports the highest coverage as on 31st December 2020,Pakistan Bureau of Statistics,Aged 5 and older. Used internet in Last three months,36108828,36223223,,11.644897,30.656647,19.01175
PNG,Papua New Guinea,2020,50.0,15.0204,34.9796,ITU estimate.,,ITU estimate.,,36477762,42775458,,,,
PHL,Philippines,2020,80.0,53.7649,26.2351,Department of Information and Communication Technology,,ITU estimate.,Aged 10-74.,36473928,36223256,,,,
SLB,Solomon Islands,2020,25.0,24.198401,0.801599,ITU estimate.,,ITU estimate.,,36477751,42775460,,,,
LKA,Sri Lanka,2020,96.0,36.184734,59.815266,Telecommunications Regulatory Commission of Sri Lanka,,Department of Census and Statistics,Aged 5-69.,36108784,36199728,,,,
TWN,"Taipei,China",2020,99.8,88.960744,10.839256,National Communications Commission,,National Communications Commission,Aged 16 or older.,36110325,36178866,,,,
TJK,Tajikistan,2020,80.0,27.5441,52.4559,ITU estimate.,,ITU estimate.,,36477770,48476689,,,,
THA,Thailand,2020,98.1,77.843741,20.256259,Office of The National Broadcasting and Telecommunications Commission,NBTC##1.Revise % of population covered by at least LTE/WiMAX mobile network In 2022.,National Statistical Office,Aged 6 and older.,36109885,36178827,,73.152768,83.562253,10.409485
TLS,Timor-Leste,2020,45.0,32.012699,12.987301,National Communications Authority,,ITU estimate.,,36108740,36223989,,,,
TON,Tonga,2020,96.0,54.473701,41.526299,"Ministry of Meteorology, Energy, Information, Disaster Management, Environment and Climate Change, Communication (MEIDECC)",,ITU estimate.,,36477780,59465495,,,,
UZB,Uzbekistan,2020,65.9,71.099998,-5.199998,Ministry for Development of Information Technologies and Communications of the Republic of Uzbekistan,,State Committee of the Republic of Uzbekistan on Statistics,Aged 10 and older.,36108872,36605890,,66.923386,74.99108,8.067693
VNM,Viet Nam,2020,99.5,70.3,29.2,Ministry of Information and Communications,,General Statistics Office of Vietnam,Aged 6 and older.,36111118,36178838,,63.5,81.93,18.43
AFG,Afghanistan,2021,26.0,16.514299,9.485701,Afghanistan Telecommunication Regulatory Authority.,,ITU estimate.,,45542960,48476697,,,,
ARM,Armenia,2021,100.0,78.612258,21.387742,Ministry of High-Tech Industry of Armenia,,The Statistical Committee of the Republic of Armenia,All ages.,36800971,42775308,,73.517698,82.378295,8.860597
AZE,Azerbaijan,2021,94.0,85.99999,8.00001,Ministry of Digital Development and Transport,,State Statistical Committee of the Republic of Azerbaijan,Aged 7 and older.,36784919,42775311,,76.474949,94.335161,17.860211
BGD,Bangladesh,2021,98.2,38.917445,59.282555,Bangladesh Telecommunication Regulatory Commission,"June, 2022",Bangladesh Bureau of Statistics (BBS),Aged 5 and older.,36781781,42775315,,29.735373,66.84762,37.112247
BTN,Bhutan,2021,80.0,85.636884,-5.636884,Government Technology Agency,,Ministry of Information and Communication,Not available.,36781825,42555404,,79.05497,96.557375,17.502405
BRN,Brunei Darussalam,2021,96.64,97.628799,-0.988799,Authority for Info-communications Technology Industry of Brunei Darussalam,Data is referring to LTE coverage. There is no WiMax deployment in Brunei.,ITU estimate.,Aged 15 and older.,48747293,42775321,,,,
KHM,Cambodia,2021,92.1,60.762699,31.337301,Telecommunication Regulator of Cambodia (TRC),"data was changed, as verified again.",ITU estimate.,Aged 5 and older.,36781913,42775360,,,,
CHN,China,2021,99.9,73.053235,26.846765,Ministry of Industry and Information Technology,,National Bureau of Statistics,Aged 6 and older.,36782221,42555407,,56.988061,81.815696,24.827635
FJI,Fiji,2021,80.0,70.568001,9.431999,ITU estimate.,,ITU estimate.,,48478007,42775339,,,,
GEO,Georgia,2021,99.72,76.442709,23.277291,Communications Comission,,National Statistics Office of Georgia,Aged 15 and older.,36782935,42555521,,66.38144,83.173319,16.791879
HKG,"Hong Kong, China",2021,99.0,93.087158,5.912842,Office of the Communications Authority,,Census and Statistics Department,Aged 10 and older. In the last 12 months.,36781957,42555433,,,,
IND,India,2021,98.67,49.258099,49.411901,Department of Telecommunications,As in December 2021,ITU estimate.,,36782001,59465399,,,,
IDN,Indonesia,2021,96.19,62.104478,34.085522,Ministry of Communications and Informatics,"The decrease in this figure relates to the different method used in measuring coverage, from overlaying of residential area maps to overlaying of area maps.",BPS-Statistics Indonesia,All ages.,36785842,42555446,,49.304367,71.807301,22.502934
KAZ,Kazakhstan,2021,83.5,90.923951,-7.423951,"Ministry of digital development, defense and aerospace industry of the Republic of Kazakhstan",the data is generated on an annual basis at the end of May,"Committee on Statistics, Ministry of National Economy of the Republic of Kazakhstan",Aged 6 and older.,36785631,42555524,,88.957512,92.276,3.318487
KIR,Kiribati,2021,64.0,67.087601,-3.087601,"Ministry of Information, Communication & Transport ",Only one service provider provide the service,ITU estimate.,,48749138,59465414,,,,
KGZ,Kyrgyz Republic,2021,96.0,77.117699,18.882301,Service for the Regulation and Supervision of the Communications Sector under the Ministry of Digital Development of the Kyrgyz Republic,due to the fact that there has been an increase in settlements on the territory of the Kyrgyz Republic,ITU estimate.,,45542981,42775359,,,,
LAO,Lao PDR,2021,52.0,62.0,-10.0,Ministry of Technology and Communication,,Laos Statistical Information Service - Statistical Yearbook 2021,,36782311,42555460,,,,
MYS,Malaysia,2021,95.4,96.751428,-1.351428,Malaysian Communications and Multimedia Commission,"Further improvement and enhancement under government initiatives, namely JENDELA has improved 4G network.",Department of Statistics,Aged 15 and older.,36783595,42555467,,93.462768,97.660893,4.198125
MDV,Maldives,2021,100.0,81.957603,18.042397,Communications Authority of Maldives,,ITU estimate.,,36784255,42775373,,,,
MNG,Mongolia,2021,99.0,81.606823,17.393177,Communications Regulatory Commission of Mongolia,,National Statistical Office of Mongolia,Aged 15 and older.,36784299,42555472,,,,
NRU,Nauru,2021,30.0,80.294998,-50.294998,ITU estimate.,,ITU estimate.,,45542962,59465458,,,,
NPL,Nepal,2021,45.0,40.989101,4.010899,ITU estimate.,,ITU estimate.,,45542966,42775385,,,,
PNG,Papua New Guinea,2021,50.0,16.559601,33.440399,ITU estimate.,,ITU estimate.,,45542969,42775392,,,,
PHL,Philippines,2021,80.0,66.907799,13.092201,Department of Information and Communication Technology,,ITU estimate.,Aged 10-74.,36785180,42775391,,,,
SLB,Solomon Islands,2021,25.0,26.037901,-1.037901,ITU estimate.,,ITU estimate.,,45542959,42775397,,,,
LKA,Sri Lanka,2021,96.0,44.453087,51.546913,Telecommunications Regulatory Commission of Sri Lanka,,Department of Census and Statistics,Aged 5-69.,36800219,42775367,,,,
TWN,"Taipei,China",2021,99.95,87.603996,12.346004,National Communications Commission,,ITU estimate.,Aged 16 and older.,36785361,42775411,,,,
TJK,Tajikistan,2021,80.0,36.705601,43.294399,ITU estimate.,,ITU estimate.,,45542978,48476707,,,,
THA,Thailand,2021,98.1,85.269567,12.830433,Office of the National Broadcasting and Telecommunications Commission,Data from the largest mobile operator in Thailand,National Statistical Office,Aged 6 and older.,36785405,42555503,,81.684875,89.628174,7.943299
TLS,Timor-Leste,2021,45.0,35.042,9.958,National Communications Authority,,ITU estimate.,,36800175,42775406,,,,
TON,Tonga,2021,96.0,57.549,38.451,"Ministry of Meteorology, Energy, Information, Disaster Management, Environment and Climate Change, Communication (MEIDECC)",,Tonga Statistics Department,"Private household residence only, not including visitors. Have mobile phone and use for internet last three weeks",36800351,42775407,,,62.749685,
UZB,Uzbekistan,2021,75.0,76.59043,-1.59043,Ministry of Digital Technologies of the Republic of Uzbekistan,,State Committee of the Republic of Uzbekistan on Statistics,Aged 10 and older.,36785095,42775417,,73.490777,79.45395,5.963173
VNM,Viet Nam,2021,99.7,74.21,25.49,Ministry of Information and Communications,,Ministry of Information and Communications,Aged 6 and older.,36800403,42555511,,,,
AFG,Afghanistan,2022,33.03,15.8663,17.1637,Afghanistan Telecommunication Regulatory Authority.,,ITU estimate.,,48501941,48476711,,,,
ARM,Armenia,2022,100.0,77.027675,22.972325,Ministry of High-Tech Industry of Armenia,,The Statistical Committee of the Republic of Armenia,All ages.,45651631,48476721,,73.312356,79.519651,6.207296
AZE,Azerbaijan,2022,94.0,88.0,6.0,Ministry of Digital Development and Transport,,State Statistical Committee of the Republic of Azerbaijan,Aged 7 and older.,45651771,48476716,,81.251109,93.510025,12.258917
BGD,Bangladesh,2022,98.5,41.616501,56.883499,Bangladesh Telecommunication Regulatory Commission,"June, 2023",ITU estimate.,Aged 5 and older.,45652004,48476720,,,,
BTN,Bhutan,2022,97.0,88.356201,8.643799,Government Technology Agency,BTL- 45.55%#TICL-97%,ITU estimate.,,45652217,48476723,,,,
BRN,Brunei Darussalam,2022,98.64,98.970426,-0.330426,Authority for Info-communications Technology Industry of Brunei Darussalam,Data is referring to LTE coverage. There is no WiMax deployment in Brunei.,Authority for Info-communications Technology Industry of Brunei Darussalam,Aged 15 and older.,48749179,48476728,,,,
KHM,Cambodia,2022,92.1,65.490799,26.609201,Telecommunication Regulator of Cambodia (TRC),,ITU estimate.,Aged 5 and older.,45652322,48476731,,,,
CHN,China,2022,99.9,75.611316,24.288684,Ministry of Industry and Information Technology,,National Bureau of Statistics,Aged 6 and older.,45652395,48418744,,,,
FJI,Fiji,2022,80.0,72.565498,7.434502,ITU estimate.,,ITU estimate.,,48751162,48476750,,,,
GEO,Georgia,2022,99.72,78.711275,21.008725,Communications Comission,,National Statistics Office of Georgia,Aged 15 and older.,45656720,48419166,,68.728401,85.194697,16.466296
HKG,"Hong Kong, China",2022,99.0,95.613571,3.386429,Office of the Communications Authority,,Census and Statistics Department,Aged 10 and older. In last twelve months,45653380,48418851,,,,
IND,India,2022,98.67,55.9,42.77,Department of Telecommunications,As in December 2022,Ministry of Statistics and Programme Implementation,,45653590,48476764,,,,
IDN,Indonesia,2022,96.48,66.484613,29.995387,Ministry of Communications and Informatics,,BPS-Statistics Indonesia,All ages.,45653625,48418889,,56.108625,74.162072,18.053447
KAZ,Kazakhstan,2022,87.3,92.296853,-4.996853,"Ministry of digital development, defense and aerospace industry of the Republic of Kazakhstan",the data is generated on an annual basis at the end of May,"Committee on Statistics, Ministry of National Economy of the Republic of Kazakhstan",Aged 6 and older.,45693030,48419184,,90.319202,93.534438,3.215236
KIR,Kiribati,2022,64.0,84.998497,-20.998497,"Ministry of Information, Communication, Transport & Tourism Development",,ITU estimate.,,48749204,59465415,,,,
KGZ,Kyrgyz Republic,2022,96.9,84.193703,12.706297,Service for the Regulation and Supervision of the Communications Sector under the Ministry of Digital Development of the Kyrgyz Republic,due to the fact that there has been an increase in settlements on the territory of the Kyrgyz Republic,ITU estimate.,,48509407,48476774,,,,
LAO,Lao PDR,2022,66.32,64.540001,1.779999,Ministry of Post and Telecommunication,,ITU estimate.,,48751174,48476775,,,,
MYS,Malaysia,2022,96.9,97.39864,-0.49864,Malaysian Communications and Multimedia Commission,JENDELA initiatives for further improvement and enhancement have increased connectivity for 4G networks.,Department of Statistics,Aged 15 and older.,45654370,48418958,,94.516255,98.331623,3.815368
MDV,Maldives,2022,100.0,83.911891,16.088109,Communications Authority of Maldives,,"Maldives Bureau of Statistics, Ministry of Housing, Land and Urban Development",Aged 15 and older. Converted to individuals by assuming the household response is representative of all individuals in the household,45654405,48476784,,75.175448,96.413066,21.237618
FSM,Micronesia,2022,30.0,39.027901,-9.027901,"Department of Transportation, Communications and Infrastructure",,ITU estimate.,,45653117,59465377,,,,
MNG,Mongolia,2022,99.0,81.077202,17.922798,Communications Regulatory Commission of Mongolia,,ITU estimate.,Aged 15 and older.,45654475,48476790,,,,
NRU,Nauru,2022,90.0,83.226601,6.773399,ITU estimate.,,ITU estimate.,,48751177,59465459,,,,
NPL,Nepal,2022,53.28,45.450802,7.829198,ITU estimate.,,ITU estimate.,,45692718,48476797,,,,
PNG,Papua New Guinea,2022,55.91,18.256599,37.653401,ITU estimate.,,ITU estimate.,,48751181,48476807,,,,
PHL,Philippines,2022,80.0,75.211144,4.788856,Department of Information and Communication Technology,,Department of  Information and Communications Technology,Aged 15 and older.,45654965,48476808,,,,
SLB,Solomon Islands,2022,29.54,28.0173,1.5227,ITU estimate.,,ITU estimate.,,48751185,48476727,,,,
LKA,Sri Lanka,2022,97.0,48.3,48.7,Telecommunications Regulatory Commission of Sri Lanka,,Department of Census and Statistics,Aged 5-69.,45652465,48476736,,,,
TWN,"Taipei,China",2022,99.96,86.268022,13.691978,National Communications Commission,,National Communications Commission,Aged 16 and older.,45656790,48419193,,,,
TJK,Tajikistan,2022,80.0,48.914299,31.085701,ITU estimate.,,ITU estimate.,,48751188,48476831,,,,
THA,Thailand,2022,98.1,87.977245,10.122755,The National Broadcasting and Telecommunications Commission,Data from the largest mobile operator in Thailand,National Statistical Office,Aged 6 and older.,45655945,48419078,,84.873678,91.675916,6.802238
TON,Tonga,2022,96.0,61.607399,34.392601,ITU estimate.,,ITU estimate.,,45691783,48476833,,,,
UZB,Uzbekistan,2022,85.0,83.9,1.1,Ministry of Digital Technologies of the Republic of Uzbekistan,,State Committee of the Republic of Uzbekistan on Statistics,Aged 10 and older.,45656306,48476849,,81.534004,86.083432,4.549428
VNM,Viet Nam,2022,99.85,78.589999,21.260001,Ministry of Information and Communications,,Ministry of Information and Communications,Aged 6 and older.,45656414,48419122,,,,
AFG,Afghanistan,2023,34.0,15.9284,18.0716,Afghanistan Telecommunication Regulatory Authority.,increase,ITU estimate.,,48820218,52268931,21.29,,,
ARM,Armenia,2023,100.0,79.99663,20.00337,Ministry of High-Tech Industry of Armenia,,The Statistical Committee of the Republic of Armenia,All ages.,48821088,52268936,0.82,74.919246,83.488258,8.569013
AZE,Azerbaijan,2023,100.0,89.0,11.0,Ministry of Digital Development and Transport,,State Statistical Committee of the Republic of Azerbaijan,Aged 7 and older.,48821239,48750201,0.85,82.115393,94.628169,12.512776
BGD,Bangladesh,2023,98.93,44.502742,54.427258,Bangladesh Telecommunication Regulatory Commission,"June, 2024",Bangladesh Bureau of Statistics,Aged 5 and older.,48821803,48750236,1.45,36.40951,68.583463,32.173953
BTN,Bhutan,2023,97.0,90.0214,6.9786,Government Technology Agency,,ITU estimate.,,48822043,52268942,1.84,,,
BRN,Brunei Darussalam,2023,99.04,98.970398,0.069602,Authority for Info-communications Technology Industry of Brunei Darussalam,Data is referring to LTE coverage. There is no WiMax deployment in Brunei.##The data increased to 99.04 due to an increase connection from a new tower in April.,ITU estimate.,,48822004,52268945,0.31,,,
KHM,Cambodia,2023,93.1,68.925499,24.174501,Telecommunication Regulator of Cambodia (TRC),,ITU estimate.,,52135844,52268949,2.82,,,
CHN,China,2023,100.0,90.6,9.4,Ministry of Industry and Information Technology,,China Internet Network Information Center,"Aged 6 and older. From 2023 includes individuals reporting they have not used the Internet but have used mobile applications such as WeChat, Taobao, Douyin and others",48822195,51712064,0.85,66.499941,83.300075,16.800134
GEO,Georgia,2023,99.72,81.884256,17.835744,Communications Comission,,National Statistics Office of Georgia,Aged 15 and older.,48825639,51712500,0.8,72.970472,87.50466,14.534188
HKG,"Hong Kong, China",2023,99.0,95.977819,3.022181,Office of the Communications Authority,,"Census and Statistics Department, Hong Kong Special Administrative Region, China",Aged 10 and older.,48823165,52268981,0.1,,,
IND,India,2023,98.8,60.2523,38.5477,Department of Telecommunications,As in December 2023,ITU estimate.,,52128162,59465400,1.15,,,
IDN,Indonesia,2023,98.96,69.208366,29.751634,Ministry of Communications and Informatics,,BPS-Statistics Indonesia,Aged 5 and older.,48823384,51712179,0.56,59.333988,76.295566,16.961578
KAZ,Kazakhstan,2023,89.2,92.878461,-3.678461,"Ministry of digital development, defense and aerospace industry of the Republic of Kazakhstan",National statistic agency data,Bureau of National statistics Agency for Strategic planning and reforms of the Republic of Kazakhstan,Aged 6 and older.,48821491,51712516,0.84,91.709736,93.599136,1.8894
KIR,Kiribati,2023,65.0,88.0,-23.0,"Ministry of Information, Communication, Transport & Tourism Development",,Kiribati National Statistics Office,Refers to individuals with access to the Internet at home,48820299,52268992,7.67,,,
KGZ,Kyrgyz Republic,2023,99.33,91.044403,8.285597,Service for the Regulation and Supervision of the Communications Sector under the Ministry of Digital Development of the Kyrgyz Republic,,Gallup World Poll.,Aged 15 and older.,48821537,52268993,0.93,,,
LAO,Lao PDR,2023,76.0,64.398003,11.601997,Ministry of Post and Telecommunication,,ITU estimate.,,52140891,52268994,1.74,,,
MYS,Malaysia,2023,97.1,97.692726,-0.592726,Malaysian Communications and Multimedia Commission,Improvement and enhancement of 4G LTE coverage by government initiatives through JENDELA project,Department of Statistics,Aged 15 and older.,48820775,51712239,0.59,94.980317,98.595361,3.615044
MDV,Maldives,2023,100.0,84.552902,15.447098,Communications Authority of Maldives,,ITU estimate.,,48820815,52269002,2.55,,,
MNG,Mongolia,2023,99.0,83.743202,15.256798,Communications Regulatory Commission of Mongolia,,ITU estimate.,,48823758,52269010,1.23,,,
PNG,Papua New Guinea,2023,70.0,18.5613,51.4387,NATIONAL INFORMATION & COMMUNICATION TECHNOLOGY AUTHORITY ( NICTA),,ITU estimate.,,52275225,52269025,23.51,,,
PHL,Philippines,2023,95.54,77.866997,17.673003,Department of Information and Communication Technology,,ITU estimate.,,48824048,52269027,1.78,,,
LKA,Sri Lanka,2023,97.0,51.2,45.8,Telecommunications Regulatory Commission of Sri Lanka,,Department of Census and Statistics,Aged 5-69.,48822273,52269043,0.45,,,
TWN,"Taipei,China",2023,99.96,93.144814,6.815186,National Communications Commission,,National Communications Commission,Aged 16 and older.,48821640,51712539,,,,
