iso3,country,year,admin_level,total_pop,urban_cell_pop,embedded_urban_pop,admin_units,rural_units,rural_units_with_urban_pop,embedded_share_of_urban_cell_pop_pct
TLS,Timor-Leste,2005,2,969065.1429431058,325537.5856909624,86499.42638340217,62.0,55.0,13.0,26.571256341968862
TON,Tonga,2005,2,105070.23569950319,59907.170488080454,10553.53986992315,11.0,9.0,2.0,17.61648861720644
TWN,"Taipei,China",2005,2,22780588.51615935,21566506.56164784,6175.41432958841,22.0,1.0,1.0,0.028634282107470644
UZB,Uzbekistan,2005,2,26686309.987602998,22380369.008304674,439372.0172209045,161.0,28.0,22.0,1.9632027383367403
VNM,Viet Nam,2005,2,83088397.95538288,70585207.18827555,1924507.626912795,710.0,122.0,100.0,2.7265027667616772
VUT,Vanuatu,2005,2,215796.46657564252,55746.24799683622,1255.2870513084351,63.0,57.0,3.0,2.251787512909706
WSM,Samoa,2005,2,187409.90204441565,104289.892350863,2947.774396823717,43.0,27.0,3.0,2.8265197425906865
AFG,Afghanistan,2010,2,28190398.89814857,22088872.42551984,719260.6642719673,328.0,84.0,52.0,3.25621267766021
AZE,Azerbaijan,2010,2,9185919.441194553,7084209.617859858,555765.5915177547,79.0,23.0,20.0,7.845131941277193
BGD,Bangladesh,2010,2,148140721.5603744,143607906.8784054,192713.1263720204,64.0,1.0,1.0,0.13419395252045072
BRN,Brunei Darussalam,2010,2,395246.76854146883,319207.0593302433,5128.68114698771,39.0,17.0,2.0,1.6066941494804818
BTN,Bhutan,2010,2,740485.4502503772,237140.62561992166,12156.386690989606,205.0,190.0,11.0,5.126235396913104
CHN,China,2010,2,1354980182.2912674,1124116694.8641138,6516816.887815905,368.0,18.0,14.0,0.5797277913930168
FJI,Fiji,2010,2,898829.4098523728,481070.76903159556,73153.68915168568,15.0,13.0,7.0,15.206429877031487
FSM,Micronesia,2010,2,103382.16697367362,34257.67966344858,1633.167656350882,74.0,70.0,2.0,4.767303776540941
GEO,Georgia,2010,2,3835290.336682048,2471250.427535272,316682.8811573682,69.0,47.0,25.0,12.814681896614388
IDN,Indonesia,2010,2,243341166.7759905,207237843.99913,7148239.780716677,502.0,118.0,108.0,3.449292678776703
IND,India,2010,2,1240676329.2047222,998164551.4216781,34561864.46560458,676.0,121.0,108.0,3.4625417639184226
KAZ,Kazakhstan,2010,2,16632579.662165308,12207962.618915277,992693.1475061856,174.0,88.0,74.0,8.131521847618421
KGZ,Kyrgyz Republic,2010,2,5363465.827274012,4038489.5911574727,209929.95849580207,44.0,14.0,13.0,5.198229530056408
KHM,Cambodia,2010,2,14366127.154330673,9396703.086531658,1010487.0610801049,202.0,86.0,54.0,10.753634032860324
LAO,Lao PDR,2010,2,6329104.359189836,1677216.5989471886,735547.4315149673,142.0,124.0,57.0,43.85524397842714
LKA,Sri Lanka,2010,2,20633445.759928413,16944064.9827245,661133.6585820735,323.0,86.0,57.0,3.9018597913554944
MMR,Myanmar,2010,2,49366870.90330826,34228551.446863316,3566211.5340057365,63.0,13.0,13.0,10.418821081406126
MNG,Mongolia,2010,2,2702420.844281784,1741632.4790647966,4171.953526982572,327.0,292.0,5.0,0.2395427035916776
MYS,Malaysia,2010,2,28690900.14651745,23006712.804026112,835675.2583290827,144.0,49.0,38.0,3.632310558433371
NPL,Nepal,2010,2,27163472.74443173,19117125.511953555,751250.3191723324,14.0,2.0,2.0,3.9297242605986487
PAK,Pakistan,2010,2,194438234.61001486,162074014.04038763,1847147.08530921,32.0,3.0,3.0,1.1396935506569947
PHL,Philippines,2010,2,93945255.86551258,76474706.26025052,3023164.0952297417,1647.0,420.0,302.0,3.953155550466103
PNG,Papua New Guinea,2010,2,7545914.480651721,2801552.633769133,915817.7170774793,87.0,64.0,43.0,32.68964880539699
SLB,Solomon Islands,2010,2,530142.7335723876,95868.08929813937,10514.613246505149,183.0,168.0,4.0,10.9677926445429
THA,Thailand,2010,2,68245276.87122837,39045860.09200458,7307351.089428962,928.0,609.0,462.0,18.71479094636537
TJK,Tajikistan,2010,2,7623205.2855520705,6146748.303874219,248084.22971065613,59.0,16.0,12.0,4.03602388525152
TKM,Turkmenistan,2010,2,5259382.861837849,3772477.9675677805,295522.9266065658,58.0,25.0,14.0,7.833655468559237
TLS,Timor-Leste,2010,2,1088188.5764156783,424450.0929558819,99031.05847583528,62.0,53.0,14.0,23.33161427440864
TON,Tonga,2010,2,106832.30238069914,62308.24571627003,10536.054462585129,11.0,9.0,2.0,16.90956685020894
TWN,"Taipei,China",2010,2,23064846.41467192,21838186.963000122,5466.10589896701,22.0,1.0,1.0,0.025030035269082058
UZB,Uzbekistan,2010,2,28729204.456856653,24326695.010278262,401121.84005870874,161.0,26.0,23.0,1.6488957496660803
VNM,Viet Nam,2010,2,87353896.7681982,74739735.48867212,1685230.4477655096,710.0,108.0,90.0,2.2547985174779357
VUT,Vanuatu,2010,2,243350.8918276279,66820.90623577431,1498.6108605132904,63.0,57.0,3.0,2.242727530850173
WSM,Samoa,2010,2,193392.44521590712,107968.95314878561,3023.848966700021,43.0,27.0,3.0,2.8006652639606813
AFG,Afghanistan,2015,2,33753090.25125032,27640082.685656693,528651.6810535465,328.0,62.0,42.0,1.9126269883696132
AZE,Azerbaijan,2015,2,9810689.794593086,7647920.215337075,364481.9990699448,79.0,19.0,16.0,4.765766231962195
BGD,Bangladesh,2015,2,157560624.70923167,153563865.04679874,0.0,64.0,0.0,0.0,0.0
BRN,Brunei Darussalam,2015,2,420465.6143496719,343950.8710543912,5283.606234512759,39.0,17.0,2.0,1.536151432998473
BTN,Bhutan,2015,2,778698.9066747684,250052.21492084785,12996.910755090179,205.0,189.0,11.0,5.197678716504972
CHN,China,2015,2,1400563187.7443218,1168960588.8953028,6539678.106401096,368.0,16.0,12.0,0.5594438485373795
FJI,Fiji,2015,2,910820.168267387,490964.5456743531,72237.25063607562,15.0,13.0,7.0,14.713333431613846
FSM,Micronesia,2015,2,105203.99389402855,29363.65717514156,1674.5094108227631,74.0,72.0,2.0,5.702659586423572
GEO,Georgia,2015,2,3769462.106772299,2443791.077641825,299087.35083060415,69.0,48.0,24.0,12.238662853258848
IDN,Indonesia,2015,2,258342884.3448475,221155937.8600421,7020104.937739279,502.0,102.0,94.0,3.1742782968739154
IND,India,2015,2,1322935610.2782536,1081395494.3036692,31048762.396539282,676.0,105.0,93.0,2.8711754913064587
KAZ,Kazakhstan,2015,2,17840967.676171895,13414509.062558629,1002112.4060311269,174.0,90.0,75.0,7.47036213817271
KGZ,Kyrgyz Republic,2015,2,5790959.882370187,4393685.489600858,171428.3696148427,44.0,12.0,11.0,3.9016986996585414
KHM,Cambodia,2015,2,15420799.275817268,10200943.11578643,1067042.7557363042,202.0,83.0,61.0,10.460236309768323
LAO,Lao PDR,2015,2,6792830.563191971,1853480.1451593305,932104.2144294062,142.0,125.0,61.0,50.28940918864172
LKA,Sri Lanka,2015,2,21300579.346869167,17675264.48292705,527559.0420943311,323.0,79.0,51.0,2.9847306817044386
MMR,Myanmar,2015,2,51456140.62618525,35709076.17680055,3620415.12716195,63.0,10.0,10.0,10.138641249739356
MNG,Mongolia,2015,2,2964642.5276095765,1999969.5342812287,5136.524382245734,327.0,290.0,5.0,0.25683013136956384
MYS,Malaysia,2015,2,31037077.706995834,25288309.89988771,797143.5369971732,144.0,48.0,36.0,3.152221481597364
NPL,Nepal,2015,2,27612786.59770201,19651238.823416766,784030.0358219034,14.0,3.0,3.0,3.9897232071071227
PAK,Pakistan,2015,2,210951763.30260336,179624576.97759792,1876220.974091172,32.0,3.0,3.0,1.0445235310562022
PHL,Philippines,2015,2,102303135.65740716,84838547.0006396,3126350.461344406,1647.0,387.0,281.0,3.685058940626171
PNG,Papua New Guinea,2015,2,8640447.595366668,3609400.4843537374,927429.7965665741,87.0,60.0,45.0,25.69484324576496
SLB,Solomon Islands,2015,2,601139.4250707873,117506.9252676586,12734.286139244212,183.0,167.0,5.0,10.83705161226703
THA,Thailand,2015,2,70268539.25177425,41462824.45633667,7110308.458888048,928.0,614.0,456.0,17.148635077612028
TJK,Tajikistan,2015,2,8525617.069126088,6991374.299462337,221557.67684564693,59.0,14.0,11.0,3.1690146651522513
TKM,Turkmenistan,2015,2,5757592.636854456,4250643.280419259,254437.55465349116,58.0,23.0,13.0,5.985859971491065
TLS,Timor-Leste,2015,2,1205450.3603762363,523780.9976808529,106443.44876904425,62.0,52.0,14.0,20.322128759986388
TON,Tonga,2015,2,105597.0803611828,62794.28110694039,10204.81171352649,11.0,9.0,2.0,16.251180097352197
TWN,"Taipei,China",2015,2,23491796.24860554,22234510.45065107,5025.21751108579,22.0,1.0,1.0,0.02260098112903872
UZB,Uzbekistan,2015,2,31067588.63546163,26466039.08697765,444969.1844220215,161.0,26.0,23.0,1.6812836365867991
VNM,Viet Nam,2015,2,92131217.13067697,79472335.54163319,1725511.6233278466,710.0,105.0,86.0,2.1712104112303363
VUT,Vanuatu,2015,2,274004.6103018738,78672.57812531517,2295.290365517135,63.0,57.0,3.0,2.9175227508891806
WSM,Samoa,2015,2,202207.4662989317,114287.75330791467,3158.291333390395,43.0,27.0,3.0,2.763455612677335
AFG,Afghanistan,2020,2,38970575.48632694,32870843.686884962,530183.0611916925,328.0,52.0,35.0,1.6129280594134205
AZE,Azerbaijan,2020,2,10231517.842628963,8088224.597234095,308052.4806416683,79.0,16.0,13.0,3.8086538886050723
BGD,Bangladesh,2020,2,167132311.58332768,163800300.33245054,0.0,64.0,0.0,0.0,0.0
BRN,Brunei Darussalam,2020,2,440444.07278824627,361260.4055521908,109.139922174625,39.0,16.0,1.0,0.030210872959576997
BTN,Bhutan,2020,2,807803.0467996845,250580.77295137467,17225.919639649816,205.0,187.0,11.0,6.874397998202565
CHN,China,2020,2,1431818674.7187285,1198459179.6050506,9688863.361070711,368.0,20.0,16.0,0.808443335071592
FJI,Fiji,2020,2,913970.9663046107,498397.6308206703,70569.13008317776,15.0,13.0,7.0,14.159202556195421
FSM,Micronesia,2020,2,107774.81685235353,30577.379662979263,1777.4574633743641,74.0,72.0,2.0,5.812981632060423
GEO,Georgia,2020,2,3764026.2827292616,2416484.6802569414,307043.4461067778,69.0,47.0,24.0,12.706202882864142
IDN,Indonesia,2020,2,271015983.30743384,232690542.5574325,6153214.26138534,502.0,85.0,80.0,2.6443766015400514
IND,India,2020,2,1396452874.7901394,1163213041.8752594,28956537.065014616,676.0,95.0,83.0,2.4893580128995714
KAZ,Kazakhstan,2020,2,18984737.39357414,14528767.972000996,878127.2716253204,174.0,87.0,69.0,6.044058748254475
KGZ,Kyrgyz Republic,2020,2,6300933.127458193,4745829.782081521,228083.48859715243,44.0,14.0,13.0,4.805977017092151
KHM,Cambodia,2020,2,16400325.170209982,11043043.349602079,1086730.5123510307,202.0,82.0,61.0,9.840860693444526
LAO,Lao PDR,2020,2,7324165.850297997,2133661.756847194,1177282.8120896728,142.0,125.0,67.0,55.176637454911564
LKA,Sri Lanka,2020,2,21676905.90804015,18170734.31466508,556506.5989280383,323.0,77.0,52.0,3.0626533264475597
MMR,Myanmar,2020,2,53387890.04902441,37181735.13156808,3164385.8208580483,63.0,9.0,9.0,8.510592121806111
MNG,Mongolia,2020,2,3294224.378397286,2314614.7602053536,5478.510221241981,327.0,290.0,5.0,0.23669209733873486
MYS,Malaysia,2020,2,33162521.32014441,27213124.161197126,884921.7858519387,144.0,52.0,40.0,3.251819896201915
NPL,Nepal,2020,2,29350907.89075555,21678895.749270678,697861.2312372809,14.0,3.0,3.0,3.2190810791677813
PAK,Pakistan,2020,2,227178236.68945143,198753541.03708705,1876492.8721133042,32.0,3.0,3.0,0.9441305358998127
PHL,Philippines,2020,2,111404459.57131244,94284393.84583507,2637178.8329235427,1647.0,336.0,235.0,2.7970470248083776
PNG,Papua New Guinea,2020,2,9703585.575822873,4485320.837451434,1182172.5888418865,87.0,60.0,49.0,26.35647775675282
SLB,Solomon Islands,2020,2,678291.2862400502,142207.4274190699,14907.045563155314,183.0,167.0,5.0,10.482606874833523
THA,Thailand,2020,2,71447885.1279247,43366934.870009154,6682212.6355675515,928.0,639.0,453.0,15.408542604168929
TJK,Tajikistan,2020,2,9544864.992177287,7886339.150871251,195997.92311369066,59.0,13.0,10.0,2.4852839747836306
TKM,Turkmenistan,2020,2,6241205.540015569,4654507.394836873,344949.50540004874,58.0,23.0,13.0,7.411085129710879
TLS,Timor-Leste,2020,2,1299521.2932292663,633303.1227271544,87553.09295443077,62.0,48.0,13.0,13.82483202947212
TON,Tonga,2020,2,104747.55654614842,63589.32832404404,10208.132403654039,11.0,9.0,2.0,16.05321627496134
TWN,"Taipei,China",2020,2,23799535.44502608,22483526.21997003,0.0,22.0,1.0,0.0,0.0
UZB,Uzbekistan,2020,2,33643978.4038809,28740597.241654817,564327.8243777166,161.0,27.0,25.0,1.963521563705765
VNM,Viet Nam,2020,2,96575171.12696226,83686753.52138296,1876951.7448116976,710.0,110.0,90.0,2.2428301563067734
VUT,Vanuatu,2020,2,308901.78611774434,92618.93043912132,2613.222689578776,63.0,57.0,4.0,2.8214779388933398
WSM,Samoa,2020,2,213476.58925224197,123777.69068132929,3233.4041627845727,43.0,27.0,3.0,2.6122673197297757
AFG,Afghanistan,2020,1,38970575.48632695,32870843.686884977,0.0,34.0,0.0,0.0,0.0
ARM,Armenia,2020,1,2807619.985147956,2155983.3423131793,102186.0004331824,11.0,3.0,3.0,4.739647029162381
AZE,Azerbaijan,2020,1,10231517.842628969,8088224.597234089,128572.063312396,10.0,1.0,1.0,1.5896203396276047
BGD,Bangladesh,2020,1,167132311.58332762,163800300.33245048,0.0,8.0,0.0,0.0,0.0
BRN,Brunei Darussalam,2020,1,440444.0727882464,361260.4055521911,14288.4372773312,4.0,2.0,1.0,3.955162829286853
BTN,Bhutan,2020,1,807803.046799684,250580.7729513746,99526.3159818445,20.0,18.0,8.0,39.71825723482689
CHN,China,2020,1,1431818674.7187283,1198459179.6050508,1159202.9155405331,37.0,5.0,1.0,0.0967244387850194
COK,Cook Islands,2020,1,16900.472566711258,0.0,0.0,11.0,11.0,0.0,
FJI,Fiji,2020,1,913970.9663046107,498397.6308206704,203708.17935761542,5.0,4.0,2.0,40.872621930843835
FSM,Micronesia,2020,1,107774.81685235356,30577.3796629792,30577.3796629792,4.0,4.0,2.0,100.0
GEO,Georgia,2020,1,3764026.2827292625,2416484.680256942,232172.1089072245,12.0,5.0,4.0,9.607845263994719
IDN,Indonesia,2020,1,271015983.30743384,232690542.55743253,0.0,34.0,0.0,0.0,0.0
IND,India,2020,1,1396452874.7901402,1163213041.8752594,687102.471265225,41.0,6.0,2.0,0.05906935759227057
KAZ,Kazakhstan,2020,1,18984737.393574134,14528767.97200099,243440.345759789,14.0,1.0,1.0,1.6755745995044677
KGZ,Kyrgyz Republic,2020,1,6300933.127458188,4745829.782081521,0.0,9.0,0.0,0.0,0.0
KHM,Cambodia,2020,1,16400325.170209989,11043043.349602075,699933.3217093168,25.0,8.0,8.0,6.33822850776492
LAO,Lao PDR,2020,1,7324165.850297993,2133661.756847195,1685325.9079363989,18.0,17.0,16.0,78.98749192687039
LKA,Sri Lanka,2020,1,21676905.908040147,18170734.31466508,739627.2009916739,25.0,5.0,5.0,4.070430991854534
MHL,Marshall Islands,2020,1,41255.20257616841,24703.39820637371,0.0,23.0,21.0,0.0,0.0
MMR,Myanmar,2020,1,53387890.04902439,37181735.13156808,2031911.9144518457,15.0,2.0,2.0,5.464811976261725
MNG,Mongolia,2020,1,3294224.3783972864,2314614.7602053536,411700.63114374847,22.0,16.0,16.0,17.78700448221553
MYS,Malaysia,2020,1,33162521.320144415,27213124.161197122,0.0,16.0,0.0,0.0,0.0
NPL,Nepal,2020,1,29350907.89075559,21678895.74927068,1551957.47383438,5.0,1.0,1.0,7.158840061706513
NRU,Nauru,2020,1,11983.350377137776,11217.337810064664,18.1549766212702,14.0,1.0,1.0,0.16184746263931535
PAK,Pakistan,2020,1,227178236.6894516,198753541.03708714,0.0,8.0,0.0,0.0,0.0
PHL,Philippines,2020,1,111404459.57131244,94284393.84583509,1144235.448680786,81.0,8.0,8.0,1.2136000476937163
PLW,Palau,2020,1,17692.84778978318,6889.19624071312,0.0,16.0,15.0,0.0,0.0
PNG,Papua New Guinea,2020,1,9703585.575822873,4485320.837451436,1549757.9882642445,22.0,15.0,15.0,34.55177554577832
SLB,Solomon Islands,2020,1,678291.2862400503,142207.42741906972,42611.71984073548,10.0,9.0,3.0,29.96448259707519
THA,Thailand,2020,1,71447885.1279247,43366934.870009094,11433782.93012216,77.0,47.0,47.0,26.365208803422544
TJK,Tajikistan,2020,1,9544864.992177282,7886339.150871249,79644.1520937397,5.0,1.0,1.0,1.009900164957285
TKM,Turkmenistan,2020,1,6241205.540015567,4654507.394836872,0.0,6.0,0.0,0.0,0.0
TLS,Timor-Leste,2020,1,1299521.2932292665,633303.1227271535,217370.7923858148,13.0,11.0,11.0,34.32334131715072
TON,Tonga,2020,1,104747.5565461484,63589.328324044116,5855.03735728282,5.0,4.0,1.0,9.207578553819918
TUV,Tuvalu,2020,1,10997.133580252526,7948.35559105873,0.0,9.0,8.0,0.0,0.0
TWN,"Taipei,China",2020,1,23799535.445026096,22483526.219970033,33039.8410309311,7.0,1.0,1.0,0.14695133097754423
UZB,Uzbekistan,2020,1,33643978.403880894,28740597.241654813,0.0,14.0,0.0,0.0,0.0
VNM,Viet Nam,2020,1,96575171.12696227,83686753.52138296,916869.260106591,63.0,4.0,4.0,1.0955966404794517
VUT,Vanuatu,2020,1,308901.7861177444,92618.93043912131,17975.4625154333,6.0,5.0,1.0,19.4079789414634
WSM,Samoa,2020,1,213476.58925224206,123777.69068132923,5977.534191175368,11.0,7.0,2.0,4.8292500516630055
BGD,Bangladesh,2020,3,167132311.58332765,163800300.3324505,117887.43553085795,545.0,9.0,9.0,0.07197021940227984
CHN,China,2020,3,1431818674.7187285,1198459179.6050506,29932781.787624698,2420.0,397.0,361.0,2.49760545014883
IDN,Indonesia,2020,3,271015983.30743384,232690542.5574325,4650375.1738493955,6695.0,2397.0,795.0,1.9985234993818426
IND,India,2020,3,1396452874.7901397,1163213041.8752594,44779947.42484439,2347.0,576.0,510.0,3.8496772141286306
KHM,Cambodia,2020,3,16400325.170209987,11043043.349602079,564368.7002057787,1630.0,634.0,269.0,5.110626503391521
MMR,Myanmar,2020,3,53387890.04902439,37181735.131568074,3706675.3782754773,286.0,87.0,81.0,9.969075851784098
NPL,Nepal,2020,3,29350907.89075554,21678895.749270685,2201461.119519776,75.0,43.0,35.0,10.154858185495158
PAK,Pakistan,2020,3,227178236.6894516,198753541.037087,1632312.30419603,141.0,21.0,19.0,0.8212745773880042
PHL,Philippines,2020,3,111404459.57131243,94284393.84583507,981442.3060954644,41948.0,11162.0,2759.0,1.0409382359717199
THA,Thailand,2020,3,71447885.1279247,43366934.87000915,2763901.151956001,5926.0,3835.0,1133.0,6.373291449443445
TJK,Tajikistan,2020,3,9544864.992177282,7886339.150871247,136561.6789356563,360.0,156.0,42.0,1.7316232072085003
TLS,Timor-Leste,2020,3,1299521.2932292663,633303.1227271539,22193.978844110858,493.0,369.0,42.0,3.50447961610205
VNM,Viet Nam,2020,3,96575171.12696224,83686753.52138296,925825.7170436761,11163.0,2883.0,753.0,1.1062989996464812
