adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,area_sqkm,buildings_all,buildings_p85,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,registry_clinical,osm_health,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio,registry_gap_share,underobserved_buildings_adm3_p85_proxy
Region III (Central Luzon),PH03,Zambales,PH03071,Castillejos,PH0307104,104.0826,29261,8978,3187,2046219.2,1156402.5,608842.5,86.26,21,2,18,0,0,0,0,18,0.0,1.0,8978
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,President Roxas,PH1204713,345.9315,18360,9306,3604,1067705.4,718624.7,373673.7,26.9,28,3,28,1,0,1,0,27,0.0357,0.9643,8974
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Padre Garcia,PH0401020,39.2804,27717,10371,4997,2247407.8,1447896.8,983438.8,264.02,24,4,22,3,1,2,0,19,0.1364,0.8636,8956
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Bula,PH0501706,164.7021,31432,9394,3934,1373997.2,682672.7,377609.2,57.04,41,7,40,2,1,1,0,38,0.05,0.95,8924
Region VIII (Eastern Visayas),PH08,Samar (Western Samar),PH08060,Basey,PH0806002,595.9583,24537,9660,4071,1237260.5,717193.5,407702.4,16.21,14,4,13,1,1,0,0,12,0.0769,0.9231,8917
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Labangan,PH0907312,160.0212,17295,9808,4401,1105926.3,843724.9,521544.7,61.29,13,4,11,1,1,0,0,10,0.0909,0.9091,8916
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Calabanga,PH0501708,151.4126,34658,8908,3620,1813701.4,846259.1,505287.9,58.83,58,10,56,0,0,0,0,56,0.0,1.0,8908
Mimaropa Region,PH17,Palawan,PH17053,Roxas,PH1705318,1129.9986,33308,9897,3643,1863835.2,906067.5,457505.5,8.76,31,4,30,3,1,2,0,27,0.1,0.9,8907
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Midsalip,PH0907318,280.5001,15141,8902,3722,687892.1,523863.9,306511.3,31.74,11,2,11,0,0,0,0,11,0.0,1.0,8902
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,Oroquieta City (Capital),PH1004209,153.1601,21104,11049,4641,1568021.0,1114379.2,657971.0,72.14,43,7,40,8,4,3,1,32,0.2,0.8,8839
Region III (Central Luzon),PH03,Tarlac,PH03069,Moncada,PH0306909,101.7411,33614,10232,3809,2018700.2,1143485.7,616503.5,100.57,17,4,14,2,1,1,0,12,0.1429,0.8571,8770
Region VII (Central Visayas),PH07,Bohol,PH07012,Talibon,PH0701243,148.0645,34908,10093,4170,1829146.5,942102.3,540234.3,68.17,35,4,30,4,1,0,3,26,0.1333,0.8667,8748
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Aleosan,PH1204717,160.5666,17786,9204,3728,968477.0,679986.0,370800.9,57.32,20,2,19,1,1,0,0,18,0.0526,0.9474,8720
Region V (Bicol Region),PH05,Albay,PH05005,Camalig,PH0500502,131.6839,28259,9433,3692,1590547.5,784182.6,411260.7,71.63,15,4,13,1,0,1,0,12,0.0769,0.9231,8708
Region VII (Central Visayas),PH07,Cebu,PH07022,Balamban,PH0702208,221.4623,32532,10502,4585,2508798.9,1554191.3,1088909.6,47.42,45,7,35,6,2,1,3,29,0.1714,0.8286,8702
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,Clarin,PH1004205,78.1126,16194,9342,4418,1072932.5,840554.2,564220.8,119.6,28,2,28,2,1,1,0,26,0.0714,0.9286,8675
Region III (Central Luzon),PH03,Bulacan,PH03014,Bustos,PH0301406,39.865,31694,10580,3922,2582757.8,1573678.5,902823.3,265.4,27,7,22,4,2,2,0,18,0.1818,0.8182,8657
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,New Bataan,PH1108210,563.5447,21155,9048,3114,1396243.9,804316.8,349592.7,16.06,21,3,20,1,0,1,0,19,0.05,0.95,8596
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Libona,PH1001311,270.3874,23184,10742,4580,1892026.5,1468583.2,1097980.7,39.73,15,2,15,3,0,3,0,12,0.2,0.8,8594
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,San Antonio,PH0304924,181.2672,42633,12030,4283,2622143.9,1350740.0,653797.5,66.37,27,7,21,6,3,2,1,15,0.2857,0.7143,8593
Region V (Bicol Region),PH05,Albay,PH05005,City of Ligao,PH0500508,247.0726,42155,11626,4015,2517853.4,1156520.8,601212.5,47.05,32,8,23,6,2,4,0,17,0.2609,0.7391,8593
Region IV-A (Calabarzon),PH04,Batangas,PH04010,City of Calaca,PH0401007,114.8605,30305,13536,6676,2883697.0,1983470.8,1330125.5,117.85,23,4,19,7,1,3,3,12,0.3684,0.6316,8549
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Tagoloan,PH1004324,50.1971,28546,12817,5294,2210233.6,1650267.3,1168173.7,255.33,18,4,15,5,2,3,0,10,0.3333,0.6667,8545
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Sultan Naga Dimaporo (Karomatan),PH1003506,209.597,18042,10097,4196,1004530.8,745083.2,432019.5,48.17,13,2,13,2,1,1,0,11,0.1538,0.8462,8544
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Dumalinao,PH0907307,127.113,16633,9606,4191,842002.9,638912.3,386536.2,75.57,9,2,9,1,0,0,1,8,0.1111,0.8889,8539
Region III (Central Luzon),PH03,Bataan,PH03008,Orani,PH0300809,53.6595,27941,9043,2976,2193436.2,1282662.2,660277.1,168.53,44,3,35,2,1,1,0,33,0.0571,0.9429,8527
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Rizal,PH0304923,134.4628,28820,8515,2388,1990127.0,1006318.9,407798.3,63.33,17,5,13,0,0,0,0,13,0.0,1.0,8515
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Bongabong,PH1705203,396.0861,28365,8729,3567,1785785.9,906541.2,495700.9,22.04,42,3,40,1,0,1,0,39,0.025,0.975,8511
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,San Francisco,PH1600308,353.0867,25785,10118,3729,1811503.0,1058550.4,567501.9,28.66,47,8,37,6,2,2,2,31,0.1622,0.8378,8477
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,San Carlos City,PH0604524,407.7587,33030,11302,4635,2082664.7,1170907.3,720169.4,27.72,42,5,36,9,2,7,0,27,0.25,0.75,8476
Region II (Cagayan Valley),PH02,Quirino,PH02057,Diffun,PH0205703,287.861,31639,8458,2591,1930329.9,945106.8,450358.0,29.38,39,4,37,0,0,0,0,37,0.0,1.0,8458
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Peñablanca,PH0201519,1138.8582,31596,8454,2110,1791942.1,834804.7,315270.7,7.42,28,3,27,0,0,0,0,27,0.0,1.0,8454
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Tuao,PH0201528,187.9137,31650,8654,2312,2161649.6,984760.0,367617.9,46.05,41,5,38,1,1,0,0,37,0.0263,0.9737,8426
Region I (Ilocos Region),PH01,Pangasinan,PH01055,San Manuel,PH0105535,137.669,27749,9072,3356,1739681.2,971648.6,484908.8,65.9,15,2,14,1,0,0,1,13,0.0714,0.9286,8424
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Jasaan,PH1004311,64.8299,19850,9327,3840,1191143.0,810677.7,475968.8,143.87,20,5,20,2,1,1,0,18,0.1,0.9,8394
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Laguindingan,PH1004314,36.5615,14616,9115,4522,856604.0,690347.3,447908.3,249.31,12,1,12,1,0,1,0,11,0.0833,0.9167,8356
Region III (Central Luzon),PH03,Bulacan,PH03014,City of Baliwag,PH0301403,45.7599,50604,16114,6140,4009981.5,2272156.0,1260332.1,352.14,78,22,56,27,10,11,6,29,0.4821,0.5179,8345
Region XII (Soccsksargen),PH12,Sarangani,PH12080,Kiamba,PH1208003,428.8172,21653,9480,3554,1337392.8,844513.4,451184.7,22.11,27,4,25,3,2,1,0,22,0.12,0.88,8342
Region VI (Western Visayas),PH06,Iloilo,PH06030,Dumangas,PH0603018,119.0546,31286,9696,4622,1955411.8,1091016.5,708093.1,81.44,18,2,14,2,1,1,0,12,0.1429,0.8571,8310
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Rosales,PH0105531,72.3621,34876,10444,3732,2397446.1,1379403.3,787335.8,144.33,48,9,44,9,4,5,0,35,0.2045,0.7955,8308
Region VI (Western Visayas),PH06,Iloilo,PH06030,Santa Barbara,PH0603043,69.2844,28048,9189,4267,1881386.2,1072223.0,670870.2,132.63,26,4,20,2,1,1,0,18,0.1,0.9,8270
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Sipocot,PH0501734,253.8366,27910,8403,3496,1473332.9,751523.7,439580.1,33.1,56,7,55,1,1,0,0,54,0.0182,0.9818,8250
Region VII (Central Visayas),PH07,Cebu,PH07022,Daanbantayan,PH0702221,91.7293,32263,10814,4844,2017648.7,1137748.3,699543.9,117.89,28,6,25,6,2,4,0,19,0.24,0.76,8219
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Kananga,PH0803726,232.9039,21150,8847,4331,1221076.5,777964.6,520620.9,37.99,14,5,14,1,0,0,1,13,0.0714,0.9286,8215
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Bolinao,PH0105514,206.0749,31839,8937,2681,2201640.0,1055969.3,466393.4,43.37,40,6,37,3,2,0,1,34,0.0811,0.9189,8212
Region VII (Central Visayas),PH07,Bohol,PH07012,Tagbilaran City (Capital),PH0701242,32.1868,49680,21241,11109,4072842.4,2820869.2,1950371.5,659.93,65,16,44,27,11,11,5,17,0.6136,0.3864,8208
Cordillera Administrative Region (CAR),PH14,Ifugao,PH14027,Alfonso Lista (Potia),PH1402707,358.7562,24157,8207,2461,1562219.3,877828.5,396488.3,22.88,28,4,27,0,0,0,0,27,0.0,1.0,8207
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Caraga,PH1102504,570.8376,15416,8205,3362,984597.2,695268.9,380109.7,14.37,19,1,19,0,0,0,0,19,0.0,1.0,8205
Region VII (Central Visayas),PH07,Cebu,PH07022,Barili,PH0702210,119.4155,28904,8200,3320,1405903.0,681912.8,392574.9,68.67,21,5,20,0,0,0,0,20,0.0,1.0,8200
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Taysan,PH0401032,92.5409,23830,9521,4886,1888915.3,1273003.9,878951.6,102.88,24,2,21,3,1,1,1,18,0.1429,0.8571,8160
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Tukuran,PH0907330,130.0246,15143,8944,3823,851912.2,641909.5,361727.8,68.79,11,4,11,1,0,0,1,10,0.0909,0.9091,8131
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Bantay,PH0102903,75.1154,23884,8556,3667,1635004.5,1042723.4,621842.0,113.9,44,5,40,2,2,0,0,38,0.05,0.95,8128
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Alcala,PH0105504,58.5376,26391,8496,3172,1586051.0,888930.2,451261.4,145.14,27,2,23,1,0,0,1,22,0.0435,0.9565,8126
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Burauen,PH0803710,310.3979,23105,9196,4376,1293507.4,763128.5,468001.0,29.63,17,6,17,2,1,0,1,15,0.1176,0.8824,8115
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Kadingilan,PH1001306,166.8641,15417,8534,3416,870937.0,642167.5,354183.3,51.14,20,4,20,1,0,1,0,19,0.05,0.95,8107
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Balayan,PH0401003,93.0011,26387,10414,4977,2275622.5,1384143.2,877090.1,111.98,41,8,31,7,4,2,1,24,0.2258,0.7742,8063
Region II (Cagayan Valley),PH02,Isabela,PH02031,Aurora,PH0203103,74.7716,23733,8060,3320,1821269.4,1077152.3,609132.7,107.79,40,4,36,0,0,0,0,36,0.0,1.0,8060
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Sison,PH0105541,154.8326,26579,8567,3275,1871099.8,1125369.7,671199.4,55.33,34,4,33,2,1,1,0,31,0.0606,0.9394,8048
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,Loreto,PH1600305,1098.5731,17827,8914,3534,959424.6,648831.9,353680.1,8.11,20,3,20,2,1,0,1,18,0.1,0.9,8023
Region III (Central Luzon),PH03,Tarlac,PH03069,Santa Ignacia,PH0306915,131.4588,36622,11216,4453,2312403.0,1392756.7,814743.7,85.32,8,3,7,2,1,1,0,5,0.2857,0.7143,8012
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Kalilangan,PH1001307,217.6767,19433,9722,3761,1155770.7,800628.5,435844.0,44.66,18,3,17,3,0,3,0,14,0.1765,0.8235,8006
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Hinigaran,PH0604511,152.7172,29275,8596,3767,1664616.6,867505.7,518945.0,56.29,32,5,29,2,1,0,1,27,0.069,0.931,8003
Region V (Bicol Region),PH05,Camarines Norte,PH05016,Daet (Capital),PH0501603,50.2301,39848,10548,3359,2795772.5,1323315.6,613377.8,209.99,58,14,41,10,7,3,0,31,0.2439,0.7561,7975
Region I (Ilocos Region),PH01,Ilocos Norte,PH01028,City of Batac,PH0102805,158.1231,32988,10812,4195,2374987.0,1391714.9,762987.4,68.38,22,8,19,5,3,0,2,14,0.2632,0.7368,7966
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Talipao,PH1906613,170.1366,12296,7955,3740,600010.5,470170.2,271874.3,46.76,12,2,12,0,0,0,0,12,0.0,1.0,7955
Region V (Bicol Region),PH05,Albay,PH05005,Polangui,PH0500514,123.197,30858,8888,3259,1905343.6,895487.0,463058.8,72.14,23,6,19,2,1,1,0,17,0.1053,0.8947,7952
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Tawi-Tawi,PH19070,Bongao (Capital),PH1907002,122.1066,23832,13217,5412,1501312.3,1083986.1,601349.4,108.24,11,6,10,4,1,3,0,6,0.4,0.6,7930
Region VIII (Eastern Visayas),PH08,Northern Samar,PH08048,Laoang,PH0804808,205.8546,19520,7921,3476,988693.0,562550.0,315343.4,38.48,21,3,19,0,0,0,0,19,0.0,1.0,7921
Region V (Bicol Region),PH05,Sorsogon,PH05062,Castilla,PH0506206,195.148,21951,8201,3363,1189507.2,662232.2,364187.9,42.02,54,4,54,2,2,0,0,52,0.037,0.963,7898
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Carmona,PH0402104,24.1187,27773,8595,2460,3247424.9,2229644.2,1643022.8,356.36,29,7,24,2,1,1,0,22,0.0833,0.9167,7879
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Asingan,PH0105506,78.4409,31961,9710,3475,1927635.4,1036503.6,511770.7,123.79,22,4,21,4,1,2,1,17,0.1905,0.8095,7860
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Mabini (Doña Alicia),PH1108203,214.5813,16979,7847,3210,1050118.7,696705.0,395583.1,36.57,15,3,14,0,0,0,0,14,0.0,1.0,7847
Region VII (Central Visayas),PH07,Cebu,PH07022,San Fernando,PH0702241,74.8617,26244,7829,3363,1599038.1,920952.8,609494.7,104.58,25,5,25,0,0,0,0,25,0.0,1.0,7829
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Wao,PH1903630,314.6005,17893,9458,3744,1198758.6,839232.9,466953.9,30.06,29,3,29,5,1,2,2,24,0.1724,0.8276,7827
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Arakan,PH1204718,443.1339,19627,8106,2534,1186559.1,693612.8,328920.9,18.29,30,2,29,1,0,1,0,28,0.0345,0.9655,7826
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Santo Niño,PH1206318,77.4342,18379,9106,3930,1384136.3,951038.3,547929.7,117.6,15,4,14,2,1,1,0,12,0.1429,0.8571,7805
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Katipunan,PH0907203,232.8164,14909,8139,3573,858412.6,621719.5,371378.2,34.96,25,2,24,1,0,0,1,23,0.0417,0.9583,7800
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Kapatagan,PH1003505,134.6113,24480,14118,6033,1655137.2,1266541.1,747293.5,104.88,30,3,29,13,4,5,4,16,0.4483,0.5517,7789
Region III (Central Luzon),PH03,Pampanga,PH03054,Macabebe,PH0305410,90.2411,27749,8759,3198,1803981.7,984390.2,506039.9,97.06,30,4,27,3,2,1,0,24,0.1111,0.8889,7786
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Lian,PH0401013,83.4097,19356,7765,3686,1439484.5,912478.2,573526.7,93.09,12,4,11,0,0,0,0,11,0.0,1.0,7765
Region V (Bicol Region),PH05,Sorsogon,PH05062,Pilar,PH0506213,201.2833,22500,7743,2913,1202337.3,618341.5,321293.5,38.47,46,2,46,0,0,0,0,46,0.0,1.0,7743
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Sagay City,PH0604523,292.359,22084,8376,3602,1688582.4,991081.2,574942.6,28.65,44,7,39,3,3,0,0,36,0.0769,0.9231,7732
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Parang,PH1906609,68.8169,11860,7728,3826,608781.0,482854.4,296332.8,112.3,11,4,11,0,0,0,0,11,0.0,1.0,7728
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Pagbilao,PH0405630,175.2203,24554,9073,4041,1861640.7,1164103.2,759854.8,51.78,21,5,20,3,1,0,2,17,0.15,0.85,7712
Region VI (Western Visayas),PH06,Aklan,PH06004,New Washington,PH0600415,55.1554,20761,8319,4136,1514079.1,926808.9,561622.5,150.83,14,3,13,1,0,0,1,12,0.0769,0.9231,7679
Cordillera Administrative Region (CAR),PH14,Benguet,PH14011,Buguias,PH1401105,176.3859,32820,9533,2599,1592209.1,791290.7,310166.3,54.05,26,10,24,5,2,1,2,19,0.2083,0.7917,7547
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,General Tinio (Papaya),PH0304910,563.156,26892,8043,2811,1919589.7,1072814.8,570215.5,14.28,19,5,16,1,1,0,0,15,0.0625,0.9375,7540
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,San Pablo,PH0907325,102.9429,13051,7516,3238,599355.2,448779.7,256312.1,73.01,10,2,10,0,0,0,0,10,0.0,1.0,7516
Region VIII (Eastern Visayas),PH08,Samar (Western Samar),PH08060,City of Catbalogan (Capital),PH0806005,169.41,29959,10852,4497,1724944.2,940979.0,529341.2,64.06,33,9,26,8,4,3,1,18,0.3077,0.6923,7513
Cordillera Administrative Region (CAR),PH14,Benguet,PH14011,Itogon,PH1401106,438.1559,33466,8511,2429,1878527.6,865909.4,368112.6,19.42,17,2,17,2,1,1,0,15,0.1176,0.8824,7510
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,City of Vigan (Capital),PH0102934,24.4584,28332,10008,4171,2274717.8,1457192.4,874735.9,409.18,54,8,48,12,8,2,2,36,0.25,0.75,7506
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Lutayan,PH1206507,166.2712,14123,7496,3430,888447.8,628090.2,375505.1,45.08,13,2,13,0,0,0,0,13,0.0,1.0,7496
Region VI (Western Visayas),PH06,Iloilo,PH06030,Tigbauan,PH0603045,90.2903,27470,8562,4008,1671448.4,917613.9,574089.4,94.83,20,2,16,2,0,2,0,14,0.125,0.875,7492
Region V (Bicol Region),PH05,Masbate,PH05041,Cawayan,PH0504106,268.6828,22225,7883,2957,1123744.1,586165.3,301927.3,29.34,39,3,39,2,1,0,1,37,0.0513,0.9487,7479
Region VI (Western Visayas),PH06,Iloilo,PH06030,Carles,PH0603014,103.287,30343,8471,3167,1726827.2,865159.4,453340.6,82.01,18,2,17,2,1,1,0,15,0.1176,0.8824,7475
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Liloy,PH0907206,122.5879,12141,7854,3924,887963.4,715526.7,468473.0,64.07,42,3,40,2,1,1,0,38,0.05,0.95,7461
Region VII (Central Visayas),PH07,Cebu,PH07022,Pinamungajan,PH0702237,105.6033,23191,7654,3209,1540953.1,857488.8,521756.6,72.48,32,4,30,1,1,0,0,29,0.0333,0.9667,7399
Region XI (Davao Region),PH11,Davao Occidental,PH11086,Santa Maria,PH1108604,212.409,16300,7398,2775,914518.3,590802.3,323918.8,34.83,28,4,26,0,0,0,0,26,0.0,1.0,7398
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Amadeo,PH0402102,35.9254,20033,8519,4323,1630691.5,1070644.3,703235.6,237.13,36,3,30,4,1,2,1,26,0.1333,0.8667,7383
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Cateel,PH1102505,452.5098,17933,7790,2716,1051171.4,633819.7,338125.5,17.22,21,2,19,1,1,0,0,18,0.0526,0.9474,7380
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Palimbang,PH1206509,796.9115,16237,8211,2990,957250.6,648142.3,335767.1,10.3,39,5,39,4,0,2,2,35,0.1026,0.8974,7369
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,San Leonardo,PH0304927,50.7756,31562,9576,3441,2338652.0,1345506.7,753163.5,188.59,16,7,13,3,3,0,0,10,0.2308,0.7692,7366
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Aurora,PH0907302,160.4408,12782,7820,3632,1093646.4,834719.7,501032.2,48.74,19,5,17,1,0,0,1,16,0.0588,0.9412,7360
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Buluan,PH1908803,57.8037,15213,7913,3369,980353.5,701964.7,416375.0,136.89,14,9,14,1,1,0,0,13,0.0714,0.9286,7348
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Tagbina,PH1606817,358.5809,18457,7326,2535,1085247.7,623632.4,303498.1,20.43,26,2,26,0,0,0,0,26,0.0,1.0,7326
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Minalabac,PH0501722,127.2209,22941,7324,3029,994977.9,515016.2,278330.9,57.57,28,4,28,0,0,0,0,28,0.0,1.0,7324
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Ragay,PH0501730,379.0525,23169,7672,3143,1201158.0,626488.7,340647.8,20.24,43,4,42,2,1,1,0,40,0.0476,0.9524,7307
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Dinas,PH0907306,166.4357,12170,7306,3073,685988.3,503123.4,268634.9,43.9,12,3,12,0,0,0,0,12,0.0,1.0,7306
Region II (Cagayan Valley),PH02,Isabela,PH02031,Cordon,PH0203109,224.5291,28618,8073,2242,1772789.9,870642.1,359674.7,35.96,32,5,31,3,2,1,0,28,0.0968,0.9032,7292
Region V (Bicol Region),PH05,Albay,PH05005,Guinobatan,PH0500504,175.5735,28654,9235,3506,1622398.0,785238.6,408994.6,52.6,20,4,19,4,2,2,0,15,0.2105,0.7895,7291
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Palo,PH0803739,81.0324,38730,16649,8362,2216908.3,1439899.5,968908.7,205.46,27,7,16,9,3,5,1,7,0.5625,0.4375,7284
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Bay,PH0403402,38.3796,24331,8689,4140,1600126.8,951065.5,607426.8,226.4,29,6,24,4,2,1,1,20,0.1667,0.8333,7241
Region I (Ilocos Region),PH01,La Union,PH01033,Aringay,PH0103302,97.1903,24720,7508,2830,1529792.5,862851.1,463730.0,77.25,29,2,26,1,0,1,0,25,0.0385,0.9615,7219
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,Talacogon,PH1600311,352.2953,15106,7609,3164,950133.3,658636.6,370110.8,21.6,17,3,17,1,1,0,0,16,0.0588,0.9412,7162
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Tanauan,PH0803748,67.1307,25481,9548,4444,1363779.3,786631.6,480757.9,142.23,10,2,8,2,0,1,1,6,0.25,0.75,7161
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Mawab,PH1108206,125.3343,17909,8175,3414,1132648.0,753765.4,441918.4,65.23,19,5,16,2,1,1,0,14,0.125,0.875,7153
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Roseller Lim,PH0908312,211.4143,11448,7144,3164,682246.1,519370.6,294172.2,33.79,18,3,18,0,0,0,0,18,0.0,1.0,7144
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,San Isidro,PH0304925,47.7883,27597,8332,3179,1898014.0,1069367.5,571310.4,174.35,19,7,14,2,2,0,0,12,0.1429,0.8571,7141
Mimaropa Region,PH17,Palawan,PH17053,El Nido (Bacuit),PH1705312,562.0203,23340,7882,3127,1395657.0,704932.0,370105.1,14.02,25,3,21,2,1,1,0,19,0.0952,0.9048,7132
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Mabini,PH0401016,39.7241,19310,9268,5579,1747385.1,1312834.8,996641.7,233.31,15,4,13,3,3,0,0,10,0.2308,0.7692,7129
Region II (Cagayan Valley),PH02,Isabela,PH02031,Angadanan,PH0203102,194.5979,24914,7103,2252,1583681.1,812190.8,382959.3,36.5,17,3,16,0,0,0,0,16,0.0,1.0,7103
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Buldon,PH1908702,380.2091,10824,7089,3640,613259.7,491429.0,316108.7,18.65,14,2,14,0,0,0,0,14,0.0,1.0,7089
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Tambulig,PH0907328,138.6141,12997,7082,2673,782367.5,530626.0,265836.8,51.09,13,8,13,0,0,0,0,13,0.0,1.0,7082
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Kawit,PH0402111,15.9604,29939,9609,3487,2277372.8,1414457.3,857909.2,602.05,43,12,34,9,4,3,2,25,0.2647,0.7353,7065
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Rosario,PH0402117,8.0019,29786,7609,2684,3245142.2,2206179.2,1691211.0,950.9,47,7,27,2,1,1,0,25,0.0741,0.9259,7045
Region III (Central Luzon),PH03,Tarlac,PH03069,San Jose,PH0306918,595.8301,26578,7039,2018,1624436.0,834308.8,407646.7,11.81,15,4,15,0,0,0,0,15,0.0,1.0,7039
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,Buenavista,PH1600201,436.4161,22734,7540,3493,1499888.4,809793.6,506198.3,17.28,33,5,30,2,0,2,0,28,0.0667,0.9333,7037
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Magpet,PH1204706,384.7975,13904,7234,2804,913031.4,631441.7,339377.9,18.8,36,4,36,1,0,0,1,35,0.0278,0.9722,7033
Region V (Bicol Region),PH05,Albay,PH05005,Legazpi City (Capital),PH0500506,157.8301,78664,22639,9073,4924477.6,2593718.3,1595921.3,143.44,92,24,58,40,9,28,3,18,0.6897,0.3103,7025
Region VII (Central Visayas),PH07,Cebu,PH07022,Carmen,PH0702215,86.4273,19491,7025,3210,1206145.3,742807.8,495819.1,81.28,25,2,23,0,0,0,0,23,0.0,1.0,7025
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,City of Victorias,PH0604531,105.7645,25992,7343,3392,1665361.1,891712.3,556888.1,69.43,34,3,23,1,0,1,0,22,0.0435,0.9565,7024
