origin_iso3,origin_country,asylum_iso3,asylum_country,forced_displacement_abroad,refugees,asylum_seekers,other_people_in_need_protection
UZB,Uzbekistan,UKR,Ukraine,54,39,15,0
AZE,Azerbaijan,ISR,Israel,54,0,54,0
BGD,Bangladesh,FIN,Finland,53,37,16,0
NPL,Nepal,CYP,Cyprus,53,0,53,0
KGZ,Kyrgyzstan,NLD,Netherlands (Kingdom of the),53,39,14,0
KGZ,Kyrgyzstan,ESP,Spain,53,28,25,0
KIR,Kiribati,AUS,Australia,53,0,53,0
MDV,Maldives,GBR,United Kingdom of Great Britain and Northern Ireland,53,46,7,0
PHL,Philippines,ISR,Israel,52,0,52,0
MMR,Myanmar,PHL,Philippines,52,15,37,0
MYS,Malaysia,IRL,Ireland,52,26,26,0
TKM,Turkmenistan,FRA,France,52,52,0,0
BGD,Bangladesh,TTO,Trinidad and Tobago,51,7,44,0
AFG,Afghanistan,CHN,China,51,27,24,0
KAZ,Kazakhstan,ISR,Israel,51,0,51,0
VUT,Vanuatu,PER,Peru,51,0,51,0
MMR,Myanmar,IRL,Ireland,50,21,29,0
IND,India,ARG,Argentina,49,25,24,0
BGD,Bangladesh,URY,Uruguay,49,0,49,0
NPL,Nepal,ZAF,South Africa,49,0,49,0
MYS,Malaysia,DEU,Germany,49,24,25,0
CHN,China,EGY,Egypt,48,11,37,0
UZB,Uzbekistan,IRL,Ireland,48,39,9,0
AZE,Azerbaijan,UKR,Ukraine,48,43,5,0
ARM,Armenia,CYP,Cyprus,48,36,12,0
IND,India,CHE,Switzerland,47,39,8,0
PAK,Pakistan,ARG,Argentina,47,41,6,0
ARM,Armenia,CZE,Czechia,47,42,5,0
VUT,Vanuatu,USA,United States of America,47,5,42,0
PAK,Pakistan,PER,Peru,46,0,46,0
ARM,Armenia,HUN,Hungary,46,46,0,0
TJK,Tajikistan,RUS,Russian Federation,46,35,11,0
GEO,Georgia,ROU,Romania,46,46,0,0
IND,India,DNK,Denmark,45,45,0,0
IND,India,FIN,Finland,45,37,8,0
AFG,Afghanistan,EST,Estonia,45,45,0,0
KAZ,Kazakhstan,CHE,Switzerland,45,32,13,0
KGZ,Kyrgyzstan,RUS,Russian Federation,45,38,7,0
BTN,Bhutan,NOR,Norway,45,45,0,0
AFG,Afghanistan,LBN,Lebanon,44,33,11,0
THA,Thailand,BRA,Brazil,44,0,44,0
KGZ,Kyrgyzstan,CAN,Canada,44,22,22,0
GEO,Georgia,ISR,Israel,44,5,39,0
GEO,Georgia,PRT,Portugal,44,31,13,0
BGD,Bangladesh,BEL,Belgium,43,11,32,0
NPL,Nepal,PER,Peru,43,0,43,0
IND,India,BEL,Belgium,42,17,25,0
BGD,Bangladesh,NOR,Norway,42,32,10,0
GEO,Georgia,BLR,Belarus,42,42,0,0
IDN,Indonesia,DEU,Germany,41,14,27,0
VNM,Viet Nam,NOR,Norway,41,41,0,0
AZE,Azerbaijan,IRL,Ireland,41,20,21,0
PHL,Philippines,NLD,Netherlands (Kingdom of the),40,24,16,0
PAK,Pakistan,JPN,Japan,40,40,0,0
KAZ,Kazakhstan,ITA,Italy,40,21,19,0
UZB,Uzbekistan,LVA,Latvia,40,31,9,0
ARM,Armenia,UKR,Ukraine,40,40,0,0
TJK,Tajikistan,BEL,Belgium,40,15,25,0
TJK,Tajikistan,CHE,Switzerland,40,33,7,0
CHN,China,ROU,Romania,39,39,0,0
NPL,Nepal,DNK,Denmark,39,39,0,0
MYS,Malaysia,FRA,France,39,33,6,0
LAO,Lao PDR,DEU,Germany,39,39,0,0
PAK,Pakistan,LUX,Luxembourg,38,8,30,0
PAK,Pakistan,TTO,Trinidad and Tobago,38,5,33,0
MMR,Myanmar,AUT,Austria,38,26,12,0
IDN,Indonesia,NLD,Netherlands (Kingdom of the),38,29,9,0
AZE,Azerbaijan,RUS,Russian Federation,38,32,6,0
IND,India,GEO,Georgia,37,0,37,0
BGD,Bangladesh,MLT,Malta,37,12,25,0
AFG,Afghanistan,MAR,Morocco,37,13,24,0
PHL,Philippines,GRC,Greece,37,0,37,0
KAZ,Kazakhstan,ARG,Argentina,37,21,16,0
LKA,Sri Lanka,LBN,Lebanon,37,0,37,0
ARM,Armenia,NOR,Norway,37,32,5,0
PNG,Papua New Guinea,CAN,Canada,37,15,22,0
BGD,Bangladesh,MDA,Rep. of Moldova,36,0,36,0
IDN,Indonesia,GRC,Greece,36,0,36,0
LKA,Sri Lanka,ARG,Argentina,36,36,0,0
THA,Thailand,MYS,Malaysia,36,23,13,0
BGD,Bangladesh,HRV,Croatia,35,10,25,0
UZB,Uzbekistan,FIN,Finland,35,35,0,0
KHM,Cambodia,KOR,Rep. of Korea,35,9,26,0
AFG,Afghanistan,NPL,Nepal,34,34,0,0
AZE,Azerbaijan,LTU,Lithuania,34,29,5,0
MNG,Mongolia,NLD,Netherlands (Kingdom of the),34,34,0,0
BGD,Bangladesh,DNK,Denmark,33,25,8,0
PAK,Pakistan,HKG,"China, Hong Kong SAR",33,33,0,0
UZB,Uzbekistan,LTU,Lithuania,33,21,12,0
KGZ,Kyrgyzstan,CZE,Czechia,33,28,5,0
TKM,Turkmenistan,CHE,Switzerland,33,23,10,0
CHN,China,PHL,Philippines,32,8,24,0
CHN,China,TTO,Trinidad and Tobago,32,0,32,0
PHL,Philippines,AUT,Austria,32,20,12,0
PAK,Pakistan,KEN,Kenya,32,15,17,0
PAK,Pakistan,LBN,Lebanon,32,9,23,0
KAZ,Kazakhstan,IRL,Ireland,32,27,5,0
NPL,Nepal,ROU,Romania,32,0,32,0
LKA,Sri Lanka,UKR,Ukraine,32,8,24,0
GEO,Georgia,AUS,Australia,32,7,25,0
TKM,Turkmenistan,ESP,Spain,32,27,5,0
IND,India,TTO,Trinidad and Tobago,31,0,31,0
MMR,Myanmar,GRC,Greece,31,26,5,0
THA,Thailand,SWE,Sweden,31,21,10,0
KGZ,Kyrgyzstan,CHE,Switzerland,31,24,7,0
PHL,Philippines,CYP,Cyprus,30,12,18,0
PAK,Pakistan,URY,Uruguay,30,0,30,0
VNM,Viet Nam,SVK,Slovakia,30,30,0,0
KAZ,Kazakhstan,DNK,Denmark,30,30,0,0
UZB,Uzbekistan,ROU,Romania,30,30,0,0
GEO,Georgia,FIN,Finland,30,15,15,0
TKM,Turkmenistan,CAN,Canada,30,17,13,0
TKM,Turkmenistan,SWE,Sweden,30,30,0,0
CHN,China,MYS,Malaysia,29,16,13,0
CHN,China,PER,Peru,29,0,29,0
BGD,Bangladesh,BGR,Bulgaria,29,5,24,0
NPL,Nepal,SWE,Sweden,29,19,10,0
AZE,Azerbaijan,LVA,Latvia,29,24,5,0
KGZ,Kyrgyzstan,MEX,Mexico,29,8,21,0
TJK,Tajikistan,IRL,Ireland,29,29,0,0
TJK,Tajikistan,MDA,Rep. of Moldova,29,6,23,0
IND,India,LVA,Latvia,28,5,23,0
CHN,China,ARG,Argentina,28,0,28,0
CHN,China,SAU,Saudi Arabia,28,14,14,0
AFG,Afghanistan,ARG,Argentina,28,28,0,0
VNM,Viet Nam,PHL,Philippines,28,19,9,0
UZB,Uzbekistan,ITA,Italy,28,18,10,0
KGZ,Kyrgyzstan,UKR,Ukraine,28,17,11,0
FJI,Fiji,NZL,New Zealand,28,23,5,0
BGD,Bangladesh,ARG,Argentina,27,5,22,0
BGD,Bangladesh,POL,Poland,27,7,20,0
AFG,Afghanistan,GHA,Ghana,27,27,0,0
AFG,Afghanistan,LKA,Sri Lanka,27,27,0,0
THA,Thailand,FRA,France,27,27,0,0
GEO,Georgia,BGR,Bulgaria,27,22,5,0
GEO,Georgia,HRV,Croatia,27,27,0,0
BTN,Bhutan,NLD,Netherlands (Kingdom of the),27,27,0,0
IND,India,ROU,Romania,26,21,5,0
PHL,Philippines,FRA,France,26,19,7,0
PAK,Pakistan,CHN,China,26,26,0,0
KAZ,Kazakhstan,BRA,Brazil,26,0,26,0
LKA,Sri Lanka,BRA,Brazil,26,5,21,0
AZE,Azerbaijan,MDA,Rep. of Moldova,26,5,21,0
LAO,Lao PDR,CAN,Canada,26,5,21,0
TJK,Tajikistan,ESP,Spain,26,21,5,0
CHN,China,LIE,Liechtenstein,25,25,0,0
AFG,Afghanistan,BIH,Bosnia and Herzegovina,25,14,11,0
AZE,Azerbaijan,SVK,Slovakia,25,25,0,0
ARM,Armenia,GRC,Greece,25,8,17,0
GEO,Georgia,LUX,Luxembourg,25,5,20,0
GEO,Georgia,LVA,Latvia,25,25,0,0
GEO,Georgia,SVK,Slovakia,25,25,0,0
AFG,Afghanistan,ZMB,Zambia,24,17,7,0
PAK,Pakistan,LVA,Latvia,24,14,10,0
VNM,Viet Nam,AUT,Austria,24,16,8,0
MYS,Malaysia,NLD,Netherlands (Kingdom of the),24,19,5,0
ARM,Armenia,IRL,Ireland,24,24,0,0
TJK,Tajikistan,NOR,Norway,24,19,5,0
TKM,Turkmenistan,ROU,Romania,24,24,0,0
MNG,Mongolia,ESP,Spain,24,14,10,0
PHL,Philippines,MYS,Malaysia,23,6,17,0
PHL,Philippines,SWE,Sweden,23,5,18,0
NPL,Nepal,AUT,Austria,23,15,8,0
UZB,Uzbekistan,MDA,Rep. of Moldova,23,8,15,0
LKA,Sri Lanka,NPL,Nepal,23,16,7,0
AZE,Azerbaijan,AUS,Australia,23,6,17,0
GEO,Georgia,ARM,Armenia,23,9,14,0
MNG,Mongolia,IRL,Ireland,23,9,14,0
NRU,Nauru,AUS,Australia,23,5,18,0
AFG,Afghanistan,ARM,Armenia,22,12,10,0
PHL,Philippines,ESP,Spain,22,12,10,0
LKA,Sri Lanka,BEN,Benin,22,16,6,0
AZE,Azerbaijan,PRT,Portugal,22,22,0,0
KHM,Cambodia,DNK,Denmark,22,22,0,0
BGD,Bangladesh,JPN,Japan,21,21,0,0
PHL,Philippines,NZL,New Zealand,21,12,9,0
IDN,Indonesia,FRA,France,21,21,0,0
IDN,Indonesia,NZL,New Zealand,21,15,6,0
KAZ,Kazakhstan,NOR,Norway,21,21,0,0
KAZ,Kazakhstan,SVN,Slovenia,21,21,0,0
KAZ,Kazakhstan,UKR,Ukraine,21,12,9,0
MYS,Malaysia,SWE,Sweden,21,16,5,0
LKA,Sri Lanka,HKG,"China, Hong Kong SAR",21,21,0,0
LKA,Sri Lanka,PHL,Philippines,21,21,0,0
AZE,Azerbaijan,GRC,Greece,21,5,16,0
LAO,Lao PDR,SWE,Sweden,21,21,0,0
ARM,Armenia,PRT,Portugal,21,16,5,0
BTN,Bhutan,BRA,Brazil,21,21,0,0
BGD,Bangladesh,HKG,"China, Hong Kong SAR",20,20,0,0
AFG,Afghanistan,JOR,Jordan,20,10,10,0
PAK,Pakistan,UKR,Ukraine,20,10,10,0
MMR,Myanmar,ROU,Romania,20,20,0,0
VNM,Viet Nam,CYP,Cyprus,20,5,15,0
LKA,Sri Lanka,MEX,Mexico,20,6,14,0
THA,Thailand,DNK,Denmark,20,20,0,0
KHM,Cambodia,NLD,Netherlands (Kingdom of the),20,15,5,0
ARM,Armenia,LUX,Luxembourg,20,15,5,0
KGZ,Kyrgyzstan,AUS,Australia,20,0,20,0
TJK,Tajikistan,CZE,Czechia,20,14,6,0
TJK,Tajikistan,JOR,Jordan,20,10,10,0
MNG,Mongolia,CYP,Cyprus,20,0,20,0
BGD,Bangladesh,ROU,Romania,19,8,11,0
PHL,Philippines,CRI,Costa Rica,19,0,19,0
MMR,Myanmar,BEL,Belgium,19,11,8,0
MMR,Myanmar,ESP,Spain,19,14,5,0
VNM,Viet Nam,UKR,Ukraine,19,6,13,0
LKA,Sri Lanka,PRT,Portugal,19,19,0,0
LKA,Sri Lanka,VNM,Viet Nam,19,19,0,0
HKG,Hong Kong SAR,DEU,Germany,19,9,10,0
AZE,Azerbaijan,HUN,Hungary,19,19,0,0
GEO,Georgia,UKR,Ukraine,19,19,0,0
BTN,Bhutan,AUS,Australia,19,5,14,0
MDV,Maldives,AUS,Australia,19,9,10,0
IND,India,UKR,Ukraine,18,7,11,0
CHN,China,HUN,Hungary,18,18,0,0
KAZ,Kazakhstan,FIN,Finland,18,18,0,0
KAZ,Kazakhstan,HRV,Croatia,18,13,5,0
MYS,Malaysia,ITA,Italy,18,5,13,0
AZE,Azerbaijan,HRV,Croatia,18,9,9,0
KHM,Cambodia,ISR,Israel,18,0,18,0
ARM,Armenia,MDA,Rep. of Moldova,18,11,7,0
TKM,Turkmenistan,BEL,Belgium,18,11,7,0
TKM,Turkmenistan,CZE,Czechia,18,18,0,0
TKM,Turkmenistan,UGA,Uganda,18,10,8,0
TLS,Timor-Leste,USA,United States of America,18,0,18,0
BTN,Bhutan,DEU,Germany,18,18,0,0
IND,India,SVK,Slovakia,17,12,5,0
CHN,China,IDN,Indonesia,17,7,10,0
CHN,China,PAK,Pakistan,17,0,17,0
AFG,Afghanistan,KWT,Kuwait,17,0,17,0
AFG,Afghanistan,MDA,Rep. of Moldova,17,17,0,0
IDN,Indonesia,HKG,"China, Hong Kong SAR",17,17,0,0
IDN,Indonesia,ITA,Italy,17,0,17,0
NPL,Nepal,BEL,Belgium,17,5,12,0
NPL,Nepal,CHE,Switzerland,17,17,0,0
TKM,Turkmenistan,CYP,Cyprus,17,9,8,0
IND,India,CRI,Costa Rica,16,5,11,0
BGD,Bangladesh,NPL,Nepal,16,0,16,0
AFG,Afghanistan,ARE,United Arab Emirates,16,5,11,0
PAK,Pakistan,JOR,Jordan,16,6,10,0
PAK,Pakistan,SVK,Slovakia,16,11,5,0
KAZ,Kazakhstan,SVK,Slovakia,16,16,0,0
THA,Thailand,NOR,Norway,16,16,0,0
ARM,Armenia,LTU,Lithuania,16,11,5,0
TKM,Turkmenistan,AUT,Austria,16,11,5,0
MNG,Mongolia,CZE,Czechia,16,10,6,0
IND,India,MYS,Malaysia,15,5,10,0
CHN,China,SVK,Slovakia,15,15,0,0
AFG,Afghanistan,PRY,Paraguay,15,15,0,0
PHL,Philippines,BEL,Belgium,15,5,10,0
VNM,Viet Nam,KHM,Cambodia,15,15,0,0
VNM,Viet Nam,FIN,Finland,15,15,0,0
KAZ,Kazakhstan,PRT,Portugal,15,15,0,0
NPL,Nepal,MLT,Malta,15,0,15,0
UZB,Uzbekistan,PRT,Portugal,15,15,0,0
LKA,Sri Lanka,PER,Peru,15,0,15,0
THA,Thailand,ESP,Spain,15,0,15,0
AZE,Azerbaijan,SVN,Slovenia,15,5,10,0
TJK,Tajikistan,PAK,Pakistan,15,7,8,0
GEO,Georgia,MLT,Malta,15,0,15,0
TKM,Turkmenistan,MDA,Rep. of Moldova,15,5,10,0
BTN,Bhutan,CAN,Canada,15,5,10,0
IND,India,NOR,Norway,14,14,0,0
CHN,China,ALB,Albania,14,14,0,0
PAK,Pakistan,PNG,Papua New Guinea,14,9,5,0
KAZ,Kazakhstan,CYP,Cyprus,14,9,5,0
KAZ,Kazakhstan,ROU,Romania,14,14,0,0
MYS,Malaysia,DNK,Denmark,14,14,0,0
UZB,Uzbekistan,SVK,Slovakia,14,14,0,0
LKA,Sri Lanka,ZAF,South Africa,14,9,5,0
THA,Thailand,NZL,New Zealand,14,6,8,0
AZE,Azerbaijan,EST,Estonia,14,14,0,0
KHM,Cambodia,ITA,Italy,14,9,5,0
KHM,Cambodia,PHL,Philippines,14,14,0,0
TJK,Tajikistan,FIN,Finland,14,14,0,0
TJK,Tajikistan,MEX,Mexico,14,0,14,0
TKM,Turkmenistan,NOR,Norway,14,9,5,0
AFG,Afghanistan,HKG,"China, Hong Kong SAR",13,13,0,0
PAK,Pakistan,CZE,Czechia,13,8,5,0
MMR,Myanmar,KHM,Cambodia,13,8,5,0
LKA,Sri Lanka,ROU,Romania,13,5,8,0
ARM,Armenia,BGR,Bulgaria,13,13,0,0
KGZ,Kyrgyzstan,DNK,Denmark,13,13,0,0
TJK,Tajikistan,DNK,Denmark,13,13,0,0
GEO,Georgia,EST,Estonia,13,13,0,0
GEO,Georgia,LTU,Lithuania,13,13,0,0
TKM,Turkmenistan,KGZ,Kyrgyzstan,13,8,5,0
MNG,Mongolia,ITA,Italy,13,8,5,0
IND,India,MDA,Rep. of Moldova,12,0,12,0
CHN,China,LUX,Luxembourg,12,7,5,0
BGD,Bangladesh,RUS,Russian Federation,12,5,7,0
AFG,Afghanistan,BEN,Benin,12,0,12,0
PHL,Philippines,CHE,Switzerland,12,12,0,0
PAK,Pakistan,MAR,Morocco,12,0,12,0
PAK,Pakistan,RUS,Russian Federation,12,5,7,0
VNM,Viet Nam,NZL,New Zealand,12,7,5,0
UZB,Uzbekistan,HUN,Hungary,12,12,0,0
LKA,Sri Lanka,GEO,Georgia,12,0,12,0
LKA,Sri Lanka,NGA,Nigeria,12,0,12,0
LKA,Sri Lanka,POL,Poland,12,5,7,0
AZE,Azerbaijan,LUX,Luxembourg,12,12,0,0
KHM,Cambodia,BEL,Belgium,12,12,0,0
KHM,Cambodia,CIV,Cote d'Ivoire,12,7,5,0
LAO,Lao PDR,GBR,United Kingdom of Great Britain and Northern Ireland,12,5,7,0
LAO,Lao PDR,THA,Thailand,12,5,7,0
ARM,Armenia,LVA,Latvia,12,12,0,0
KGZ,Kyrgyzstan,NOR,Norway,12,12,0,0
TKM,Turkmenistan,BGR,Bulgaria,12,12,0,0
CHN,China,MLT,Malta,11,6,5,0
BGD,Bangladesh,HUN,Hungary,11,11,0,0
BGD,Bangladesh,LVA,Latvia,11,0,11,0
BGD,Bangladesh,PNG,Papua New Guinea,11,5,6,0
AFG,Afghanistan,GIN,Guinea,11,0,11,0
AFG,Afghanistan,MNG,Mongolia,11,6,5,0
PAK,Pakistan,MLI,Mali,11,11,0,0
PAK,Pakistan,NRU,Nauru,11,5,6,0
IDN,Indonesia,IRL,Ireland,11,6,5,0
UZB,Uzbekistan,GRC,Greece,11,5,6,0
LKA,Sri Lanka,HUN,Hungary,11,11,0,0
LKA,Sri Lanka,PAK,Pakistan,11,0,11,0
LAO,Lao PDR,ITA,Italy,11,6,5,0
ARM,Armenia,BRA,Brazil,11,0,11,0
BTN,Bhutan,GBR,United Kingdom of Great Britain and Northern Ireland,11,6,5,0
TON,Tonga,NZL,New Zealand,11,5,6,0
PNG,Papua New Guinea,GBR,United Kingdom of Great Britain and Northern Ireland,11,5,6,0
IND,India,HRV,Croatia,10,0,10,0
IND,India,LUX,Luxembourg,10,0,10,0
CHN,China,CYP,Cyprus,10,5,5,0
CHN,China,KAZ,Kazakhstan,10,5,5,0
CHN,China,MNG,Mongolia,10,5,5,0
CHN,China,RUS,Russian Federation,10,5,5,0
BGD,Bangladesh,GEO,Georgia,10,5,5,0
BGD,Bangladesh,MAR,Morocco,10,0,10,0
BGD,Bangladesh,UKR,Ukraine,10,0,10,0
AFG,Afghanistan,ZAF,South Africa,10,5,5,0
AFG,Afghanistan,VEN,Venezuela (Bolivarian Republic of),10,10,0,0
PHL,Philippines,IRL,Ireland,10,5,5,0
PAK,Pakistan,LTU,Lithuania,10,5,5,0
PAK,Pakistan,RWA,Rwanda,10,10,0,0
PAK,Pakistan,SRB,Serbia and Kosovo: S/RES/1244 (1999),10,5,5,0
PAK,Pakistan,SVN,Slovenia,10,5,5,0
IDN,Indonesia,NOR,Norway,10,10,0,0
KAZ,Kazakhstan,AUS,Australia,10,0,10,0
KAZ,Kazakhstan,BGR,Bulgaria,10,5,5,0
KAZ,Kazakhstan,LVA,Latvia,10,10,0,0
NPL,Nepal,HRV,Croatia,10,0,10,0
NPL,Nepal,HUN,Hungary,10,10,0,0
NPL,Nepal,ESP,Spain,10,0,10,0
MYS,Malaysia,BRA,Brazil,10,0,10,0
MYS,Malaysia,ESP,Spain,10,0,10,0
UZB,Uzbekistan,CYP,Cyprus,10,5,5,0
UZB,Uzbekistan,KAZ,Kazakhstan,10,5,5,0
LKA,Sri Lanka,EST,Estonia,10,10,0,0
LKA,Sri Lanka,FJI,Fiji,10,5,5,0
LKA,Sri Lanka,GIN,Guinea,10,10,0,0
LKA,Sri Lanka,LTU,Lithuania,10,10,0,0
LKA,Sri Lanka,LUX,Luxembourg,10,5,5,0
THA,Thailand,NLD,Netherlands (Kingdom of the),10,10,0,0
KHM,Cambodia,NZL,New Zealand,10,5,5,0
KHM,Cambodia,ESP,Spain,10,5,5,0
ARM,Armenia,SRB,Serbia and Kosovo: S/RES/1244 (1999),10,5,5,0
KGZ,Kyrgyzstan,IRQ,Iraq,10,0,10,0
KGZ,Kyrgyzstan,LVA,Latvia,10,5,5,0
TJK,Tajikistan,BLR,Belarus,10,10,0,0
TJK,Tajikistan,GEO,Georgia,10,5,5,0
GEO,Georgia,ARG,Argentina,10,5,5,0
TKM,Turkmenistan,PER,Peru,10,5,5,0
TKM,Turkmenistan,PRT,Portugal,10,10,0,0
TKM,Turkmenistan,UKR,Ukraine,10,5,5,0
WSM,Samoa,USA,United States of America,10,0,10,0
TLS,Timor-Leste,DEU,Germany,10,0,10,0
TLS,Timor-Leste,ISR,Israel,10,0,10,0
PNG,Papua New Guinea,NZL,New Zealand,10,5,5,0
NIU,Niue,USA,United States of America,10,5,5,0
MDV,Maldives,USA,United States of America,10,5,5,0
IND,India,EGY,Egypt,9,0,9,0
BGD,Bangladesh,IND,India,9,9,0,0
AFG,Afghanistan,DOM,Dominican Rep.,9,0,9,0
PHL,Philippines,NOR,Norway,9,9,0,0
PHL,Philippines,RUS,Russian Federation,9,9,0,0
PAK,Pakistan,GTM,Guatemala,9,0,9,0
PAK,Pakistan,NGA,Nigeria,9,0,9,0
MMR,Myanmar,ARM,Armenia,9,9,0,0
UZB,Uzbekistan,GHA,Ghana,9,9,0,0
LKA,Sri Lanka,JOR,Jordan,9,9,0,0
KGZ,Kyrgyzstan,MDA,Rep. of Moldova,9,9,0,0
MNG,Mongolia,BEL,Belgium,9,0,9,0
MNG,Mongolia,NOR,Norway,9,9,0,0
MDV,Maldives,NOR,Norway,9,0,9,0
AFG,Afghanistan,CUB,Cuba,8,8,0,0
PHL,Philippines,POL,Poland,8,8,0,0
PAK,Pakistan,ARM,Armenia,8,8,0,0
PAK,Pakistan,ISL,Iceland,8,8,0,0
IDN,Indonesia,SWE,Sweden,8,8,0,0
NPL,Nepal,HKG,"China, Hong Kong SAR",8,8,0,0
NPL,Nepal,MEX,Mexico,8,0,8,0
LKA,Sri Lanka,KEN,Kenya,8,8,0,0
LKA,Sri Lanka,TCA,Turks and Caicos Islands,8,8,0,0
LAO,Lao PDR,BEL,Belgium,8,8,0,0
ARM,Armenia,AUS,Australia,8,0,8,0
ARM,Armenia,LBN,Lebanon,8,0,8,0
GEO,Georgia,CRI,Costa Rica,8,8,0,0
TKM,Turkmenistan,GRC,Greece,8,0,8,0
MNG,Mongolia,HRV,Croatia,8,0,8,0
MNG,Mongolia,NZL,New Zealand,8,8,0,0
IND,India,KEN,Kenya,7,0,7,0
CHN,China,NRU,Nauru,7,0,7,0
CHN,China,ZAF,South Africa,7,0,7,0
BGD,Bangladesh,CHL,Chile,7,0,7,0
AFG,Afghanistan,COL,Colombia,7,7,0,0
AFG,Afghanistan,GUY,Guyana,7,7,0,0
AFG,Afghanistan,PAN,Panama,7,7,0,0
AFG,Afghanistan,TZA,United Rep. of Tanzania,7,0,7,0
AFG,Afghanistan,TGO,Togo,7,0,7,0
PAK,Pakistan,CHL,Chile,7,0,7,0
PAK,Pakistan,LBR,Liberia,7,7,0,0
PAK,Pakistan,ARE,United Arab Emirates,7,7,0,0
VNM,Viet Nam,CRI,Costa Rica,7,0,7,0
VNM,Viet Nam,MCO,Monaco,7,7,0,0
KAZ,Kazakhstan,LTU,Lithuania,7,7,0,0
UZB,Uzbekistan,EGY,Egypt,7,0,7,0
LKA,Sri Lanka,CZE,Czechia,7,7,0,0
AZE,Azerbaijan,BGR,Bulgaria,7,7,0,0
TKM,Turkmenistan,FIN,Finland,7,7,0,0
TKM,Turkmenistan,GEO,Georgia,7,0,7,0
MNG,Mongolia,ISR,Israel,7,0,7,0
SLB,Solomon Islands,GBR,United Kingdom of Great Britain and Northern Ireland,7,0,7,0
IND,India,HUN,Hungary,6,6,0,0
IND,India,JOR,Jordan,6,6,0,0
IND,India,URY,Uruguay,6,0,6,0
CHN,China,HRV,Croatia,6,0,6,0
BGD,Bangladesh,CRI,Costa Rica,6,0,6,0
BGD,Bangladesh,SOM,Somalia,6,6,0,0
AFG,Afghanistan,PNG,Papua New Guinea,6,6,0,0
AFG,Afghanistan,URY,Uruguay,6,6,0,0
PHL,Philippines,MEX,Mexico,6,0,6,0
PAK,Pakistan,EGY,Egypt,6,0,6,0
PAK,Pakistan,ECU,Ecuador,6,6,0,0
IDN,Indonesia,BRA,Brazil,6,0,6,0
IDN,Indonesia,ESP,Spain,6,6,0,0
VNM,Viet Nam,GRC,Greece,6,0,6,0
KAZ,Kazakhstan,CRI,Costa Rica,6,0,6,0
NPL,Nepal,MYS,Malaysia,6,6,0,0
NPL,Nepal,POL,Poland,6,0,6,0
UZB,Uzbekistan,ALB,Albania,6,6,0,0
UZB,Uzbekistan,BGR,Bulgaria,6,6,0,0
THA,Thailand,PER,Peru,6,0,6,0
ARM,Armenia,FIN,Finland,6,6,0,0
KGZ,Kyrgyzstan,LUX,Luxembourg,6,6,0,0
KGZ,Kyrgyzstan,ROU,Romania,6,6,0,0
TJK,Tajikistan,AFG,Afghanistan,6,0,6,0
TJK,Tajikistan,ROU,Romania,6,6,0,0
TKM,Turkmenistan,ITA,Italy,6,6,0,0
SLB,Solomon Islands,ZAF,South Africa,6,6,0,0
MDV,Maldives,FRA,France,6,6,0,0
TUV,Tuvalu,NZL,New Zealand,6,0,6,0
IND,India,AFG,Afghanistan,5,0,5,0
IND,India,DZA,Algeria,5,0,5,0
IND,India,BGR,Bulgaria,5,5,0,0
IND,India,ECU,Ecuador,5,0,5,0
IND,India,FJI,Fiji,5,0,5,0
IND,India,HKG,"China, Hong Kong SAR",5,5,0,0
IND,India,LBN,Lebanon,5,0,5,0
IND,India,LTU,Lithuania,5,5,0,0
IND,India,NRU,Nauru,5,0,5,0
IND,India,PAK,Pakistan,5,0,5,0
IND,India,THA,Thailand,5,0,5,0
IND,India,YEM,Yemen,5,0,5,0
IND,India,ZMB,Zambia,5,0,5,0
CHN,China,ARM,Armenia,5,0,5,0
CHN,China,BIH,Bosnia and Herzegovina,5,0,5,0
CHN,China,GTM,Guatemala,5,5,0,0
CHN,China,LVA,Latvia,5,5,0,0
CHN,China,MRT,Mauritania,5,5,0,0
CHN,China,MKD,North Macedonia,5,0,5,0
CHN,China,MAR,Morocco,5,5,0,0
CHN,China,UKR,Ukraine,5,0,5,0
BGD,Bangladesh,AFG,Afghanistan,5,0,5,0
BGD,Bangladesh,EGY,Egypt,5,0,5,0
BGD,Bangladesh,CMR,Cameroon,5,0,5,0
BGD,Bangladesh,CZE,Czechia,5,0,5,0
BGD,Bangladesh,ISL,Iceland,5,5,0,0
BGD,Bangladesh,IRQ,Iraq,5,0,5,0
BGD,Bangladesh,LUX,Luxembourg,5,5,0,0
BGD,Bangladesh,SYR,Syrian Arab Rep.,5,0,5,0
AFG,Afghanistan,ALB,Albania,5,5,0,0
AFG,Afghanistan,BGD,Bangladesh,5,5,0,0
AFG,Afghanistan,ETH,Ethiopia,5,0,5,0
AFG,Afghanistan,GMB,Gambia,5,5,0,0
AFG,Afghanistan,LBY,Libya,5,0,5,0
AFG,Afghanistan,NGA,Nigeria,5,5,0,0
AFG,Afghanistan,OMN,Oman,5,5,0,0
AFG,Afghanistan,SEN,Senegal,5,0,5,0
AFG,Afghanistan,SSD,South Sudan,5,5,0,0
AFG,Afghanistan,SUR,Suriname,5,0,5,0
AFG,Afghanistan,SWZ,Eswatini,5,0,5,0
AFG,Afghanistan,TUN,Tunisia,5,5,0,0
PHL,Philippines,ARG,Argentina,5,0,5,0
