division_name,district_name,upazila_name,coordinate_facilities,clinical_tier_facilities,buildings_nearest_1km_all,buildings_nearest_3km_all,buildings_nearest_5km_all,buildings_nearest_1km_p85,buildings_nearest_3km_p85,buildings_nearest_5km_p85,buildings_nearest_1km_p90,buildings_nearest_3km_p90,buildings_nearest_5km_p90
Rangpur,Dinajpur,Bochaganj,33,24,14424,59842,83419,6724,26719,37501,3324,12831,18138
Barishal,Patuakhali,Bauphal,88,58,27911,64503,66448,11836,26699,27677,5477,11992,12535
Chattogram,Chattogram,Chandanaish,51,40,40291,62506,63770,17026,26676,27362,7470,12007,12375
Dhaka,Shariatpur,Shariatpur Sadar,57,36,26683,61227,61835,12134,26672,26938,6514,13796,13926
Rangpur,Gaibandha,Fulchhari,24,21,21055,49702,57899,10311,26472,31630,5163,14387,17530
Dhaka,Tangail,Basail,32,24,26047,50841,50919,13760,26470,26520,7385,14104,14133
Dhaka,Tangail,Dhanbari,44,33,28758,51253,51258,14933,26443,26444,7730,13659,13659
Khulna,Bagerhat,Chitalmari,33,27,19164,50220,52608,10284,26405,27686,5883,15025,15775
Chattogram,Chattogram,Sandwip,37,34,28475,64283,68207,11538,26359,28376,4816,11156,12178
Chattogram,Cumilla,Lalmi,25,20,32701,62759,62759,13796,26350,26350,6356,12147,12147
Dhaka,Tangail,Delduar,16,11,17903,45492,45589,10287,26320,26366,6031,15376,15400
Mymensingh,Netrakona,Atpara,26,25,22461,58191,59387,9845,26216,26732,4669,12544,12779
Dhaka,Madaripur,Madaripur Sadar,72,50,32402,54121,54177,16344,26164,26192,8928,13620,13632
Dhaka,Munshiganj,Tongibari,33,19,28353,53724,55293,13864,26137,26945,7396,13708,14115
Rangpur,Gaibandha,Palashbari,47,35,34304,61370,61864,14662,26072,26339,6462,11406,11556
Rajshahi,Pabna,Faridpur,35,25,27673,49945,50803,14458,26051,26499,7942,14215,14454
Khulna,Bagerhat,Mongla,27,19,19841,53668,54425,9798,25988,26317,4290,11117,11232
Dhaka,Faridpur,Boalmari,50,37,23428,54372,54977,10998,25904,26220,5519,13054,13220
Rangpur,Nilphamari,Dimla,36,31,21826,52491,63474,11182,25814,30935,6014,13602,16202
Barishal,Barishal,Gaurnadi,86,44,37267,55278,55624,17536,25732,25880,9126,13319,13401
Barishal,Patuakhali,Patuakhali Sadar,127,66,26955,52039,52479,14043,25577,25778,7485,12897,12983
Rajshahi,Rajshahi,Bagha,48,30,27544,53369,54607,13412,25570,26207,6863,13041,13430
Rajshahi,Sirajganj,Kazipur,72,67,21468,53120,60977,10411,25547,29412,5288,12864,14697
Dhaka,Faridpur,Madhukhali,53,36,26280,52926,53080,12832,25519,25587,6832,13342,13374
Mymensingh,Sherpur,Nakla,28,25,22270,51768,51997,10993,25507,25624,5644,13073,13141
Rangpur,Dinajpur,Chirirbandar,46,41,13525,53644,97768,6769,25391,45460,3612,12933,22810
Khulna,Satkhira,Kaliganj,63,54,38034,70406,71840,14089,25383,25876,5078,8397,8558
Khulna,Khulna,Dighalia,28,20,27167,46929,47068,14761,25319,25407,8475,14375,14424
Sylhet,Sunamganj,Chhatak,41,34,21827,51887,56437,10767,25282,27475,5354,12183,13191
Dhaka,Madaripur,Shibchar,70,49,18211,52114,54264,8736,25275,26355,4258,12244,12720
Rajshahi,Natore,Bagatipara,26,21,22320,48859,49188,11432,25034,25192,6216,13633,13722
Dhaka,Dhaka,Bhatara,49,12,34247,39392,39392,21953,24944,24944,14482,16360,16360
Rajshahi,Sirajganj,Tarash,46,33,23962,54392,56193,10951,24885,25709,5102,11395,11769
Khulna,Bagerhat,Bagerhat Sadar,71,49,23209,48677,48951,12340,24838,24949,6777,13362,13398
Dhaka,Dhaka,Dakshinkhan,26,8,35886,39564,39564,22561,24759,24759,14955,16386,16386
Rangpur,Rangpur,Taraganj,21,17,18311,57326,65359,7918,24722,28134,3592,11010,12515
Barishal,Bhola,Charfession,96,65,29847,63311,63439,11857,24671,24718,4981,10392,10405
Khulna,Magura,Shalikha,35,27,20343,47959,49029,10429,24592,25151,5765,13549,13867
Chattogram,Noakhali,Chatkhil,76,52,24096,56950,57225,10602,24583,24746,5273,11960,12071
Khulna,Khulna,Dacope,32,27,18372,55046,57235,8379,24559,25505,3240,9081,9434
Chattogram,Chattogram,,19,0,43712,49863,49878,21397,24554,24559,10587,12311,12314
Rajshahi,Sirajganj,Kamarkhanda,25,20,13476,50003,60959,6496,24445,29672,3426,12597,15221
Dhaka,Shariatpur,Zanjira,23,18,22517,54751,55858,9830,24254,24822,4732,11435,11711
Chattogram,Lakshmipur,Ramganj,61,34,31711,55040,55679,13995,24143,24549,6950,11897,12149
Sylhet,Sunamganj,Sunamganj Sadar,49,24,22300,51554,59973,10856,24070,27585,5514,11836,13411
Dhaka,Shariatpur,Naria,46,36,37128,54722,55037,16375,24041,24208,8363,12340,12425
Barishal,Barguna,Barguna Sadar,89,54,28297,50967,51467,13604,23741,23999,6889,11492,11616
Sylhet,Sylhet,Kanaighat,38,29,18927,53928,60090,8299,23658,26545,3935,11127,12608
Chattogram,Cox's Bazar,Ramu,28,19,25971,52236,55720,11342,23656,25633,5384,11523,12714
Rangpur,Gaibandha,Saghata,46,34,35991,54420,54692,15761,23624,23771,6832,10191,10260
Mymensingh,Mymensingh,Nandail,51,37,16241,44480,52275,8557,23579,27763,4268,12107,14302
Dhaka,Munshiganj,Lohajang,37,24,31210,50867,54447,14697,23486,25262,7239,11465,12367
Rangpur,Panchagarh,Atwari,21,20,15450,45391,54304,7901,23128,27981,4036,11940,14741
Dhaka,Kishoreganj,Karimganj,34,26,23653,50581,51536,10889,22982,23412,4945,10491,10671
Barishal,Barishal,Wazirpur,66,45,28742,50128,50428,13389,22979,23130,6737,11508,11577
Chattogram,Noakhali,Companiganj,60,38,25608,49746,51225,11688,22909,23708,6086,11885,12309
Rajshahi,Chapainawabganj,Nachole,27,22,15876,45830,51328,8013,22868,25633,4336,12180,13715
Mymensingh,Sherpur,Jhenaigati,25,24,15039,50082,60719,6711,22796,27916,3185,10874,13472
Barishal,Pirojpur,Mathbaria,94,57,22607,51969,60931,10173,22599,26379,4278,9056,10425
Rangpur,Gaibandha,Sundarganj,51,41,19899,45006,45543,9783,22419,22705,4754,10860,11018
Chattogram,Cumilla,Meghna,33,22,20751,39493,39493,11720,22307,22307,7013,13383,13383
Mymensingh,Mymensingh,Bhaluka,65,43,22403,39259,39325,12780,22279,22322,7092,12198,12223
Chattogram,Brahmanbaria,Nasirnagar,27,20,25131,44032,45218,13018,22255,22782,6879,11421,11662
Chattogram,Khagrachari,Ramgarh,20,17,14690,40203,44157,7653,21947,24266,4299,12576,13943
Sylhet,Maulvibazar,Barlekha,31,20,14478,46367,49370,7079,21931,23348,3645,10877,11496
Rangpur,Kurigram,Bhurungamari,58,48,12757,46514,69051,5982,21809,32359,3078,10871,15958
Mymensingh,Sherpur,Sreebardi,42,36,25519,45629,48528,11887,21627,23134,5487,10249,11005
Dhaka,Gopalganj,Kashiani,40,18,14552,41966,46984,7596,21614,24230,4283,11925,13401
Rajshahi,Rajshahi,Mohanpur,28,23,17763,40023,43097,9739,21605,23406,5546,12303,13361
Dhaka,Manikganj,Ghior,26,21,16456,42741,46107,8163,21537,23244,4384,11522,12420
Mymensingh,Mymensingh,Tarakanda,39,33,14132,39253,43215,7921,21530,23437,4355,11771,12710
Dhaka,Manikganj,Harirampur,30,24,15544,42675,46324,7707,21521,23260,4065,11511,12469
Sylhet,Sylhet,Beanibazar,39,26,20815,48705,51307,9300,21319,22389,4649,10236,10709
Dhaka,Rajbari,Kalukhali,27,25,17195,44583,45253,8204,21212,21521,4187,10854,10997
Rajshahi,Joypurhat,Akkelpur,33,27,25091,40581,40581,13078,21188,21188,7185,11562,11562
Khulna,Bagerhat,Fakirhat,40,35,23863,42986,43079,11868,21122,21154,6657,11599,11609
Rangpur,Nilphamari,Kishoreganj,35,33,21101,42544,48122,10485,21116,23548,5408,10912,12027
Sylhet,Sylhet,Bishwanath,28,21,14498,44885,48765,6728,21024,22804,3176,10152,11008
Chattogram,Lakshmipur,Raipur,55,42,30244,50530,51315,12622,21015,21367,5950,9972,10145
Chattogram,Feni,Parshuram,15,12,14208,41289,44031,7333,21005,22489,4170,11809,12694
Khulna,Khulna,Terokhada,24,20,16761,39157,39554,9175,20928,21148,5229,11896,12006
Dhaka,Dhaka,Dohar,39,23,20015,43206,43555,9737,20868,21047,4708,9983,10063
Rajshahi,Rajshahi,Tanore,35,30,13249,37655,46110,7528,20854,25231,4426,12114,14526
Rajshahi,Joypurhat,Khetlal,23,17,19391,39150,39150,10349,20764,20764,5872,11583,11583
Dhaka,Kishoreganj,Bajitpur,25,15,22301,42806,43109,10810,20637,20756,5619,10553,10601
Barishal,Barishal,Bakerganj,95,78,21204,47814,49277,9376,20567,21121,4350,9392,9626
Mymensingh,Mymensingh,Dhobaura,24,20,14202,43783,51831,6930,20565,24268,3496,10092,11763
Rangpur,Lalmonirhat,Aditmari,40,38,23725,41184,41508,11893,20538,20696,5629,9670,9753
Sylhet,Habiganj,Bahubal,23,18,12037,37061,49022,6594,20478,26988,3608,11466,15060
Chattogram,Chattogram,Chittogram Port,17,4,31586,39131,39895,16086,20440,20911,8250,10736,11050
Chattogram,Lakshmipur,Ramgati,31,22,17285,45899,45910,7439,20378,20384,3502,9939,9944
Khulna,Kushtia,Khoksa,30,22,17259,40299,41293,8983,20356,20843,5033,11095,11334
Chattogram,Chattogram,Boalkhali,49,41,24433,53342,53344,8868,20315,20316,3778,8663,8663
Khulna,Magura,Mohammadpur,35,27,22423,41836,41836,10872,20177,20177,5666,10457,10457
Chattogram,Khagrachari,Matiranga,13,12,10902,38309,44806,5621,20164,23757,2987,10676,12620
Sylhet,Sunamganj,Bishwambarpur,21,17,18228,42259,43934,8718,20071,20809,4361,10011,10349
Barishal,Bhola,Bhola Sadar,76,48,26450,53350,54635,10278,19959,20416,4865,9165,9383
Chattogram,Noakhali,Subarnachar,34,26,11645,42401,47052,5299,19935,22232,2554,9836,10987
Sylhet,Sylhet,Dakshin Surma,20,17,14371,42071,48247,6820,19805,23050,3448,9549,11254
Sylhet,Habiganj,Nabiganj,43,32,15656,38402,43291,8170,19800,22265,4297,10060,11215
Rajshahi,Pabna,Bhangura,30,23,19103,40027,42425,9468,19637,20833,5089,10266,10885
Sylhet,Habiganj,Baniachong,29,21,20660,40285,46912,9996,19601,22682,4520,9228,10716
Dhaka,Kishoreganj,Kuliarchar,25,20,21726,41857,41857,10386,19572,19572,5261,9836,9836
Dhaka,Madaripur,Rajoir,67,40,20274,39723,42855,10395,19551,21244,5742,10549,11536
Khulna,Khulna,Khulna Sadar,120,55,27154,31796,32429,17002,19547,19861,10920,12264,12404
Chattogram,Noakhali,Hatiya,50,36,18595,48307,50751,7392,19442,20479,2998,8021,8440
Chattogram,Lakshmipur,Kamalnagar,46,27,21894,40027,40792,10447,19424,19826,5453,10386,10592
Rangpur,Panchagarh,Tentulia,17,16,10273,36994,46236,5423,19120,23877,3010,10290,12876
Chattogram,Cox's Bazar,Pekua,19,15,16316,42471,47575,7512,19111,21483,3656,9330,10524
Barishal,Patuakhali,Galachipa,58,36,18680,43052,45969,8510,19035,20225,4025,8779,9331
Sylhet,Sunamganj,Jagannathpur,41,31,14423,34834,37696,7780,18980,20456,3659,9041,9752
Barishal,Barishal,Muladi,29,21,19902,42714,44874,9516,18829,19700,5212,9609,10042
Chattogram,Chattogram,Karnaphuli,14,13,31125,41383,41383,14219,18741,18741,7054,9261,9261
Sylhet,Maulvibazar,Rajnagar,32,27,18908,40703,41701,9032,18589,19027,4548,9156,9384
Mymensingh,Jamalpur,Sarishabari,56,44,19013,37855,38578,9307,18579,18926,4411,8812,8962
Barishal,Barishal,Babuganj,37,32,21152,40303,40632,9808,18536,18643,5089,9624,9665
Khulna,Khulna,Sonadanga,76,38,28121,29180,29180,17779,18336,18336,11706,12016,12016
Dhaka,Dhaka,Badda,54,16,24511,27603,27603,16207,18045,18045,11015,12155,12155
Sylhet,Sylhet,Companiganj,23,19,13062,35703,41897,6670,18041,21128,3565,9582,11146
Chattogram,Cox's Bazar,Maheshkhali,38,31,31004,44698,47856,12630,17995,19131,5793,8215,8683
Khulna,Bagerhat,Mollahat,30,26,14287,34290,36608,7720,17912,19049,4430,9970,10550
Dhaka,Manikganj,Shibalaya,18,15,13900,36200,45348,6928,17897,22636,3666,9454,12099
Khulna,Khulna,Phultala,24,16,20791,33453,33731,11057,17811,17961,6367,10060,10147
Chattogram,Rangamati,Langadu,36,34,14593,30490,32604,8150,17792,19175,4772,10789,11661
Dhaka,Kishoreganj,Tarail,33,27,21022,38150,38320,9706,17606,17689,4505,8184,8224
Chattogram,Khagrachari,Dighinala,14,10,8809,31385,39877,4771,17520,22600,2640,10011,13042
Dhaka,Tangail,Bhuapur,35,25,16761,33160,36078,8804,17386,18943,4984,9956,10846
Dhaka,Dhaka,Mohammadpur,161,78,24771,28450,29028,15253,17303,17621,10032,11281,11454
Rajshahi,Natore,Naldanga,21,15,13791,34201,34949,7007,17208,17598,3716,8930,9137
Barishal,Barguna,Patharghata,55,33,17341,39080,40232,7598,17175,17721,2906,6620,6834
Rangpur,Dinajpur,Nawabganj,33,28,17132,36812,41734,8118,17168,19491,4095,8372,9560
Rangpur,Kurigram,Chilmari,29,22,11680,34137,39285,5897,17004,19659,3130,9076,10546
Chattogram,Rangamati,Rangamati Sadar,40,23,15545,29828,34718,8611,16990,20041,5014,9964,11858
Dhaka,Manikganj,Daulatpur,24,21,12620,32333,34604,6347,16819,17940,3414,9209,9815
Barishal,Pirojpur,Nazirpur,39,33,15226,33056,36204,7830,16636,18353,4214,8962,10017
Mymensingh,Netrakona,Barhatta,15,13,12578,35270,38768,5989,16586,18066,2925,7949,8614
Mymensingh,Mymensingh,Haluaghat,29,21,16010,34518,39362,7861,16483,18755,4103,8438,9525
Khulna,Satkhira,Debhata,26,25,20884,38604,38661,9003,16448,16478,3675,6836,6852
Dhaka,Rajbari,Goalanda,19,13,20982,32923,34493,10195,16276,17033,5335,8652,9053
Dhaka,Shariatpur,Gosairhat,36,30,20030,37867,38302,8536,16130,16319,4315,7988,8083
Sylhet,Habiganj,Lakhai,30,27,16823,29933,30240,9140,16046,16219,4942,8705,8791
Sylhet,Sunamganj,Tahirpur,22,16,15723,34554,37156,7512,16019,17082,3701,7806,8238
Dhaka,Faridpur,Sadarpur,24,16,14285,31861,32499,7141,15844,16218,3819,8529,8730
Chattogram,Chattogram,Panchlaish,103,55,23887,32533,36389,11286,15752,17711,5615,8068,9164
Dhaka,Dhaka,Jatrabari,77,39,24413,24539,24539,15641,15713,15713,9899,9943,9943
Chattogram,Khagrachari,Khagrachari Sadar,27,15,12591,27824,31833,7015,15652,18160,4193,9268,10842
Chattogram,Bandarban,Bandarban Sadar,26,22,14235,29986,35450,7174,15585,18620,3856,8417,10041
Dhaka,Dhaka,Uttara  Paschim,70,38,18229,21950,21950,13130,15498,15498,9971,11586,11586
Barishal,Pirojpur,Pirojpur Sadar,69,39,18480,33261,33307,8769,15333,15352,4005,6864,6870
Chattogram,Feni,Fulgazi,20,18,15926,30928,31984,7925,15326,15880,4232,8309,8648
Dhaka,Faridpur,Alfadanga,29,18,13642,32412,33475,6483,15297,15784,3299,7821,8062
Chattogram,Rangamati,Baghaichari,19,19,8869,24958,31266,5173,15185,19244,3211,9579,12152
Rajshahi,Chapainawabganj,Bholahat,16,13,21702,30860,32944,10729,15185,16220,5243,7517,8037
Rajshahi,Sirajganj,Chauhali,19,15,10295,28841,35360,5412,15061,18564,2957,8142,10071
Rangpur,Kurigram,Rajibpur,19,14,14628,28046,28787,7675,15038,15538,4382,8631,8958
Dhaka,Kishoreganj,Austagram,23,19,21859,32597,36590,10168,15023,16668,4576,6781,7462
Dhaka,Faridpur,Char Bhadrasan,12,11,11389,27263,30508,6123,14758,16678,3443,8402,9548
Dhaka,Dhaka,Kadamtali,27,13,20869,22546,22546,13532,14548,14548,8891,9482,9482
Sylhet,Sylhet,Zakiganj,35,30,13175,36909,40563,5259,14505,15991,2304,6248,6879
Chattogram,Chattogram,Chandgaon,21,7,23157,28085,28085,11706,14309,14309,6109,7583,7583
Sylhet,Sylhet,Jaintiapur,17,13,10715,29240,33696,5156,14298,16483,2647,7408,8518
Khulna,Khulna,Khalishpur,12,6,20089,23451,23714,12258,14179,14303,7537,8670,8727
Khulna,Jhenaidah,Kotchandpur,27,17,14548,27047,27185,7751,14034,14114,4270,7679,7721
Barishal,Jhalokathi,Jhalokathi Sadar,58,39,18010,30671,30935,8546,13956,14048,4382,7001,7035
Mymensingh,Netrakona,Mohanganj,20,10,10803,30753,35699,4961,13847,16064,2367,6547,7588
Sylhet,Sylhet,Osmaninagar,17,17,11084,27594,28076,5565,13772,14034,2710,6763,6904
Chattogram,Chattogram,Halishahar,15,5,23171,26158,26164,11510,13195,13200,5872,6864,6869
Sylhet,Sylhet,Balaganj,20,15,12925,27162,28106,6439,13032,13519,3206,6369,6589
Rangpur,Dinajpur,Kaharole,24,23,4765,27939,49109,2299,12859,22595,1201,6367,11220
Chattogram,Khagrachari,Manikchari,11,8,8492,23212,27754,4509,12806,15468,2497,7242,8861
Chattogram,Noakhali,Kabirhat,36,30,10649,27889,28236,4826,12616,12791,2425,6380,6476
Mymensingh,Netrakona,Madan,13,10,8773,29111,35061,3759,12516,15283,1683,5580,6848
Dhaka,Dhaka,Kafrul,35,15,19181,20584,20584,11838,12469,12469,7715,8050,8050
Dhaka,Dhaka,Khilgaon,33,16,18704,19220,19220,12154,12443,12443,8017,8207,8207
Rangpur,Kurigram,Phulbari,26,22,9995,28143,37160,4310,12130,16213,2072,5598,7422
Chattogram,Khagrachari,Mahalchari,16,15,6749,20925,22921,3750,12090,13345,2141,7030,7773
Dhaka,Shariatpur,Damudya,20,16,14833,28091,28726,6387,11782,12033,3109,5686,5785
Chattogram,Khagrachari,Panchhari,14,11,7555,21624,25982,3793,11734,14321,1909,6429,8014
Barishal,Patuakhali,Dashmina,28,22,10570,28768,29597,4374,11713,12080,1953,5111,5304
Barishal,Barishal,Agailjhara,44,32,12994,23839,24301,6425,11628,11851,3328,5976,6092
Sylhet,Sunamganj,Dowarabazar,37,30,10273,24594,28454,4878,11568,13341,2311,5465,6318
Dhaka,Kishoreganj,Nikli,22,18,16703,24282,25281,7868,11565,12049,3736,5492,5725
Barishal,Jhalokathi,Nalchity,29,25,10231,26030,26484,4713,11431,11598,2380,5670,5757
Dhaka,Dhaka,Shyampur,22,11,14005,20103,23093,8457,11409,12690,5024,6619,7244
Sylhet,Sunamganj,Derai,34,30,10125,23322,26481,5040,11409,12936,2518,5411,6100
Chattogram,Chattogram,Bayejid Bostami,11,4,19706,21279,21279,10381,11184,11184,5460,5911,5911
Khulna,Bagerhat,Kachua,24,18,9824,22898,23810,4759,11178,11681,2270,5607,5892
Rangpur,Dinajpur,Ghoraghat,24,17,10420,21767,27510,5294,11124,14159,2910,6162,7893
Chattogram,Rangamati,Kowkhali,18,17,7334,20262,22473,3909,11097,12331,2171,6249,6891
Barishal,Bhola,Lalmohan,48,40,14908,30469,30474,5506,11024,11027,2201,4282,4284
Dhaka,Kishoreganj,Itna,19,17,12011,25760,28136,5101,11007,12001,2108,4616,4986
Barishal,Pirojpur,Nesarabad,56,37,12401,20948,21563,6477,10837,11093,3581,5870,6010
Dhaka,Dhaka,Turag,17,8,16413,18174,18174,9796,10808,10808,6246,6872,6872
Barishal,Barguna,Taltali,22,16,6688,23509,24613,3143,10804,11301,1487,4881,5094
Sylhet,Sunamganj,Shantiganj,31,29,12057,22206,22555,5815,10782,10943,2702,5082,5150
Sylhet,Sunamganj,Dharampasha,20,12,7582,25431,34971,3179,10737,14706,1419,4942,6717
Rangpur,Kurigram,Rajarhat,29,24,8985,25759,28709,3825,10498,11654,1703,4426,4891
Sylhet,Maulvibazar,Juri,25,18,8544,22381,26306,4128,10443,12232,2143,5353,6246
Chattogram,Bandarban,Naikhongchari,10,10,8792,20622,23855,4486,10421,12099,2422,5504,6421
Dhaka,Dhaka,Pallabi,36,13,14437,16122,16122,9332,10398,10398,6257,6958,6958
Sylhet,Sunamganj,Jamalganj,24,19,10362,23171,26882,4885,10372,12003,2415,4880,5628
Barishal,Bhola,Borhanuddin,40,31,17117,28803,28822,6304,10335,10340,2619,4222,4223
Rangpur,Dinajpur,Hakimpur,10,7,11341,22614,25788,5154,10234,11706,2573,4995,5775
Mymensingh,Netrakona,Purbadhala,20,20,10311,19770,19770,5388,10180,10180,2835,5267,5267
Chattogram,Chattogram,Pahartali,15,4,17622,21275,21275,8337,10073,10073,4193,5104,5104
Barishal,Barishal,Banaripara,52,36,14002,21112,21112,6539,10003,10003,3341,5175,5175
Khulna,Meherpur,Mujibnagar,22,17,4082,18024,30165,2375,9998,16530,1479,6056,9770
Chattogram,Rangamati,Barkal,20,20,5474,16047,21696,3370,9867,13472,2077,6234,8495
Dhaka,Dhaka,Gulshan,58,18,12651,16306,16325,7773,9808,9818,5069,6205,6210
Khulna,Bagerhat,Sarankhola,31,23,10889,24112,24882,4422,9717,10018,1598,3392,3489
Sylhet,Sylhet,Fenchuganj,14,9,12272,21696,23664,5577,9621,10510,2692,4530,4962
Rangpur,Gaibandha,Sadullapur,54,46,12094,20302,20318,5739,9518,9525,2619,4252,4257
Barishal,Patuakhali,Mirzaganj,44,35,11100,21207,21316,5023,9314,9378,2344,4241,4273
Dhaka,Gopalganj,Tungipara,20,15,9505,19913,22205,4508,9239,10399,2297,4494,5148
Khulna,Khulna,Khan Jahan Ali,7,4,12368,15010,15010,7688,9089,9089,4877,5662,5662
Barishal,Barguna,Bamna,22,17,8750,17750,17759,4370,8681,8683,2337,4525,4526
Barishal,Bhola,Daulatkhan,24,18,14999,23977,24966,5427,8676,9388,2255,3629,4175
Sylhet,Habiganj,Ajmiriganj,21,19,11087,20434,22185,4540,8675,9436,1917,3746,4092
Dhaka,Dhaka,Cantonment,24,5,12485,13597,13597,7836,8538,8538,5134,5632,5632
Dhaka,Dhaka,Tejgaon,54,22,13309,13806,13806,8182,8474,8474,5369,5559,5559
Dhaka,Dhaka,Kamrangir Char,25,9,13909,14751,14751,7942,8396,8396,4776,5046,5046
Dhaka,Dhaka,Rampura,52,16,11556,12207,12207,7919,8282,8282,5660,5865,5865
Rajshahi,Rajshahi,Shah Makhdum,5,4,8409,13034,13034,5343,8097,8097,3427,5103,5103
Mymensingh,Mymensingh,Gaffargaon,21,5,10185,16380,16810,5102,8061,8284,2678,4054,4158
Barishal,Pirojpur,Bhandaria,38,32,11255,19762,20454,4408,7664,7939,1814,3157,3266
Barishal,Barishal,Mehendiganj,23,12,8162,17018,18462,3844,7455,8042,1989,3719,4011
Chattogram,Chattogram,Khulshi,14,9,16136,16433,16433,7191,7349,7349,3512,3604,3604
Chattogram,Chattogram,Double Mooring,21,6,16387,16387,16387,7318,7318,7318,3200,3200,3200
Dhaka,Dhaka,Banani,74,18,9993,11671,11671,6392,7318,7318,4448,5003,5003
Chattogram,Rangamati,Kaptai,14,10,5348,14433,16536,2608,7253,8395,1305,3780,4390
Dhaka,Dhaka,Khilkhet,21,10,9575,10973,10973,6327,7103,7103,4401,4883,4883
Chattogram,Cox's Bazar,Kutubdia,12,10,8687,18081,18270,3331,6938,6995,1478,3078,3091
Rangpur,Dinajpur,Khansama,20,19,3290,13306,21006,1748,6880,10647,969,3752,5697
Dhaka,Kishoreganj,Mithamain,21,19,7808,15314,17382,3536,6848,7759,1573,3095,3490
Dhaka,Dhaka,Uttar Khan,7,3,9156,11762,11762,5155,6582,6582,3050,3865,3865
Dhaka,Dhaka,Sher-e-bangla Nagar,46,29,8552,11034,11035,5175,6514,6514,3338,4122,4122
Chattogram,Chattogram,Kotwali,27,6,15493,15493,15493,6399,6399,6399,2916,2916,2916
Barishal,Barguna,Betagi,31,23,6493,14351,14352,2896,6387,6388,1397,3004,3005
Dhaka,Dhaka,Sabujbag,17,7,9409,9466,9466,6366,6387,6387,4405,4412,4412
Chattogram,Bandarban,Alikadam,7,7,4805,12583,15742,2267,6270,8002,1149,3245,4178
Dhaka,Dhaka,Mugda Para,21,7,8431,10198,10198,5258,6197,6197,3343,3926,3926
Dhaka,Dhaka,Uttara  Purba,29,10,9208,9208,9208,6071,6071,6071,4224,4224,4224
Barishal,Bhola,Tazumuddin,20,17,8333,15555,15560,3226,6040,6043,1388,2491,2491
Chattogram,Bandarban,Lama,9,9,5560,12975,17383,2380,5978,8349,1090,3011,4429
Dhaka,Dhaka,Lalbag,21,2,10512,10534,10534,5953,5962,5962,3460,3465,3465
Dhaka,Dhaka,,11,10,6585,8951,8951,4262,5775,5775,2943,3929,3929
Barishal,Pirojpur,Indurkani,18,13,4318,12472,12968,1943,5737,5921,845,2672,2730
Barishal,Jhalokathi,Rajapur,22,19,6882,13877,13959,2798,5535,5567,1250,2367,2382
Barishal,Jhalokathi,Kanthalia,26,20,7489,13094,13329,3275,5477,5580,1480,2497,2535
Dhaka,Dhaka,Paltan,87,19,7875,8190,8190,5049,5221,5221,3328,3415,3415
Chattogram,Chattogram,Patenga,6,2,9393,9613,9613,5086,5199,5199,2637,2703,2703
Chattogram,Rangamati,Rajasthali,10,10,4677,9974,12078,2337,5087,6178,1153,2578,3112
Khulna,Khulna,Daulatpur,4,1,5143,8270,8270,3202,4985,4985,2000,3053,3053
Sylhet,Habiganj,Shayestaganj,9,6,4800,9957,11855,2470,4948,5801,1320,2593,2968
Chattogram,Chandpur,Haimchar,9,7,6370,12381,12397,2409,4827,4839,1090,2215,2221
Mymensingh,Mymensingh,Gauripur,10,2,6722,9532,9844,3510,4809,4966,1860,2521,2605
Dhaka,Dhaka,Dhanmondi,88,47,6929,6929,6929,4741,4741,4741,3280,3280,3280
Dhaka,Dhaka,Motijheel,37,7,6949,7089,7089,4642,4726,4726,3181,3229,3229
Barishal,Barishal,Hizla,20,13,3416,10532,11765,1482,4598,5073,743,2229,2453
Khulna,Kushtia,,1,1,4193,8103,8474,2428,4380,4563,1472,2546,2637
Chattogram,Rangamati,Naniarchar,15,15,1561,7001,10998,946,4308,6840,593,2639,4247
Chattogram,Bandarban,Rowangchari,9,9,3617,8001,13055,1790,3940,6608,895,1889,3175
Barishal,Patuakhali,Dumki,23,14,4679,8573,8573,2177,3939,3939,1077,1986,1986
Mymensingh,Netrakona,Khaliajuri,9,8,2897,9222,12529,1179,3903,5260,461,1668,2187
Chattogram,Rangamati,Juraichari,8,8,2746,6494,8978,1579,3882,5353,939,2295,3082
Dhaka,Dhaka,Kalabagan,74,35,5097,5660,5660,3444,3676,3676,2436,2542,2542
Barishal,Pirojpur,Kawkhali,25,24,3442,7731,8244,1490,3413,3606,742,1673,1765
Barishal,Bhola,Manpura,12,11,3469,8203,8203,1396,3318,3318,578,1357,1357
Dhaka,Dhaka,Adabor,27,15,5803,5803,5803,3143,3143,3143,1928,1928,1928
Dhaka,Dhaka,New Market,20,10,5062,5062,5062,3068,3068,3068,1961,1961,1961
Sylhet,Sunamganj,Sulla,6,6,2246,7233,7753,891,2908,3094,381,1251,1334
Rajshahi,Rajshahi,Matihar,3,2,4112,4866,4866,2411,2822,2822,1447,1677,1677
Dhaka,Dhaka,Sutrapur,10,5,3896,5126,5126,2142,2811,2811,1166,1503,1503
Barishal,Patuakhali,Rangabali,3,1,2085,5991,10424,937,2565,4425,420,1166,1976
Chattogram,Bandarban,Thanchi,4,4,779,4122,7267,434,2479,4423,211,1321,2388
Dhaka,Dhaka,Bhasan Tek,7,3,4718,4718,4718,2210,2210,2210,1220,1220,1220
Khulna,Khulna,,2,1,2520,3255,3255,1728,2149,2149,1205,1466,1466
Dhaka,Dhaka,Shahbag,33,16,3281,3453,3453,1989,2078,2078,1354,1403,1403
